Config,Accuracy
batch64_lr0.005_0.002_0.001_dp0.0,0.9927
batch64_lr0.01_0.005_0.002_dp0.0,0.9920
batch64_lr0.01_0.002_0.001_dp0.0,0.9916
batch128_lr0.01_0.005_0.001_dp0.0,0.9916
batch256_lr0.01_0.005_0.002_dp0.0,0.9914
batch256_lr0.005_0.002_0.001_dp0.2,0.9914
batch64_lr0.001_0.001_0.001_dp0.0,0.9912
batch256_lr0.01_0.005_0.001_dp0.0,0.9912
batch64_lr0.01_0.005_0.001_dp0.0,0.9911
batch256_lr0.01_0.002_0.001_dp0.2,0.9911
batch128_lr0.01_0.002_0.001_dp0.0,0.9910
batch256_lr0.01_0.002_0.001_dp0.0,0.9910
batch256_lr0.005_0.002_0.001_dp0.0,0.9909
batch128_lr0.01_0.005_0.001_dp0.2,0.9908
batch64_lr0.01_0.005_0.001_dp0.2,0.9907
batch64_lr0.005_0.005_0.005_dp0.0,0.9907
batch64_lr0.005_0.002_0.001_dp0.2,0.9906
batch128_lr0.005_0.005_0.005_dp0.0,0.9906
batch128_lr0.01_0.005_0.002_dp0.0,0.9905
batch128_lr0.01_0.002_0.001_dp0.2,0.9904
batch256_lr0.01_0.01_0.01_dp0.0,0.9903
batch256_lr0.002_0.002_0.002_dp0.2,0.9903
batch64_lr0.002_0.002_0.002_dp0.2,0.9902
batch128_lr0.005_0.002_0.001_dp0.2,0.9902
batch256_lr0.01_0.005_0.001_dp0.2,0.9902
batch128_lr0.002_0.002_0.002_dp0.0,0.9901
batch64_lr0.002_0.002_0.002_dp0.0,0.9900
batch64_lr0.001_0.001_0.001_dp0.2,0.9900
batch128_lr0.001_0.001_0.001_dp0.2,0.9899
batch64_lr0.01_0.002_0.001_dp0.2,0.9898
batch128_lr0.005_0.002_0.001_dp0.0,0.9898
batch64_lr0.01_0.005_0.002_dp0.2,0.9897
batch128_lr0.01_0.005_0.002_dp0.2,0.9897
batch128_lr0.001_0.001_0.001_dp0.0,0.9896
batch256_lr0.002_0.002_0.002_dp0.0,0.9896
batch128_lr0.002_0.002_0.002_dp0.2,0.9893
batch256_lr0.005_0.005_0.005_dp0.0,0.9893
batch256_lr0.005_0.005_0.005_dp0.2,0.9893
batch128_lr0.01_0.01_0.01_dp0.0,0.9892
batch256_lr0.01_0.01_0.01_dp0.2,0.9890
batch256_lr0.001_0.001_0.001_dp0.0,0.9890
batch64_lr0.01_0.01_0.01_dp0.0,0.9888
batch64_lr0.005_0.005_0.005_dp0.2,0.9886
batch128_lr0.005_0.005_0.005_dp0.2,0.9885
batch256_lr0.001_0.001_0.001_dp0.2,0.9882
batch256_lr0.01_0.005_0.002_dp0.2,0.9877
batch64_lr0.01_0.01_0.01_dp0.2,0.9875
batch128_lr0.01_0.01_0.01_dp0.2,0.9875
batch256_lr0.002_0.002_0.002_dp0.5,0.9827
batch256_lr0.005_0.002_0.001_dp0.5,0.9825
batch128_lr0.01_0.002_0.001_dp0.5,0.9817
batch128_lr0.01_0.005_0.001_dp0.5,0.9801
batch256_lr0.005_0.005_0.005_dp0.5,0.9791
batch256_lr0.01_0.002_0.001_dp0.5,0.9786
batch128_lr0.002_0.002_0.002_dp0.5,0.9782
batch128_lr0.005_0.002_0.001_dp0.5,0.9778
batch256_lr0.01_0.005_0.001_dp0.5,0.9769
batch128_lr0.01_0.005_0.002_dp0.5,0.9755
batch256_lr0.01_0.01_0.01_dp0.5,0.9755
batch128_lr0.005_0.005_0.005_dp0.5,0.9743
batch256_lr0.01_0.005_0.002_dp0.5,0.9743
batch128_lr0.001_0.001_0.001_dp0.5,0.9719
batch256_lr0.001_0.001_0.001_dp0.5,0.9693
batch64_lr0.01_0.005_0.001_dp0.5,0.9640
batch128_lr0.01_0.01_0.01_dp0.5,0.9625
batch64_lr0.01_0.002_0.001_dp0.5,0.9551
batch64_lr0.005_0.002_0.001_dp0.5,0.9542
batch64_lr0.001_0.001_0.001_dp0.5,0.9489
batch64_lr0.01_0.005_0.002_dp0.5,0.9455
batch64_lr0.002_0.002_0.002_dp0.5,0.9421
batch64_lr0.01_0.01_0.01_dp0.5,0.9189
batch64_lr0.005_0.005_0.005_dp0.5,0.9017
