Config,Accuracy
batch256_lr0.005_0.002_0.001_dp0.2,0.9944
batch256_lr0.01_0.005_0.002_dp0.0,0.9943
batch128_lr0.002_0.002_0.002_dp0.0,0.9939
batch128_lr0.01_0.005_0.002_dp0.2,0.9937
batch256_lr0.01_0.005_0.001_dp0.2,0.9937
batch128_lr0.005_0.005_0.005_dp0.2,0.9936
batch128_lr0.01_0.002_0.001_dp0.0,0.9935
batch256_lr0.01_0.002_0.001_dp0.0,0.9935
batch64_lr0.01_0.002_0.001_dp0.0,0.9932
batch128_lr0.01_0.005_0.002_dp0.0,0.9932
batch256_lr0.005_0.002_0.001_dp0.0,0.9932
batch64_lr0.01_0.005_0.001_dp0.0,0.9931
batch128_lr0.01_0.005_0.001_dp0.2,0.9931
batch256_lr0.01_0.005_0.002_dp0.2,0.9931
batch64_lr0.01_0.005_0.002_dp0.0,0.9930
batch64_lr0.001_0.001_0.001_dp0.0,0.9930
batch256_lr0.002_0.002_0.002_dp0.0,0.9930
batch256_lr0.001_0.001_0.001_dp0.2,0.9930
batch128_lr0.005_0.002_0.001_dp0.2,0.9929
batch128_lr0.01_0.005_0.001_dp0.0,0.9928
batch256_lr0.005_0.005_0.005_dp0.2,0.9928
batch256_lr0.002_0.002_0.002_dp0.2,0.9928
batch64_lr0.01_0.01_0.01_dp0.0,0.9927
batch128_lr0.01_0.002_0.001_dp0.2,0.9927
batch256_lr0.001_0.001_0.001_dp0.0,0.9927
batch128_lr0.001_0.001_0.001_dp0.2,0.9926
batch256_lr0.01_0.002_0.001_dp0.5,0.9926
batch256_lr0.005_0.005_0.005_dp0.0,0.9926
batch128_lr0.005_0.005_0.005_dp0.0,0.9924
batch128_lr0.002_0.002_0.002_dp0.2,0.9924
batch256_lr0.01_0.005_0.001_dp0.0,0.9924
batch256_lr0.01_0.002_0.001_dp0.2,0.9923
batch256_lr0.005_0.002_0.001_dp0.5,0.9923
batch64_lr0.005_0.002_0.001_dp0.2,0.9922
batch128_lr0.005_0.002_0.001_dp0.0,0.9922
batch128_lr0.001_0.001_0.001_dp0.0,0.9922
batch256_lr0.01_0.01_0.01_dp0.0,0.9922
batch256_lr0.01_0.005_0.001_dp0.5,0.9921
batch64_lr0.005_0.005_0.005_dp0.0,0.9920
batch64_lr0.002_0.002_0.002_dp0.0,0.9920
batch64_lr0.01_0.002_0.001_dp0.2,0.9918
batch256_lr0.01_0.005_0.002_dp0.5,0.9918
batch64_lr0.005_0.002_0.001_dp0.0,0.9916
batch256_lr0.01_0.01_0.01_dp0.5,0.9915
batch256_lr0.01_0.01_0.01_dp0.2,0.9912
batch64_lr0.001_0.001_0.001_dp0.2,0.9911
batch64_lr0.01_0.005_0.002_dp0.2,0.9909
batch128_lr0.01_0.01_0.01_dp0.0,0.9909
batch64_lr0.01_0.005_0.001_dp0.2,0.9907
batch256_lr0.001_0.001_0.001_dp0.5,0.9903
batch256_lr0.005_0.005_0.005_dp0.5,0.9898
batch128_lr0.01_0.01_0.01_dp0.2,0.9896
batch64_lr0.002_0.002_0.002_dp0.2,0.9892
batch256_lr0.002_0.002_0.002_dp0.5,0.9884
batch64_lr0.005_0.005_0.005_dp0.2,0.9873
batch128_lr0.001_0.001_0.001_dp0.5,0.9873
batch128_lr0.01_0.002_0.001_dp0.5,0.9869
batch128_lr0.01_0.005_0.001_dp0.5,0.9839
batch128_lr0.002_0.002_0.002_dp0.5,0.9837
batch128_lr0.01_0.01_0.01_dp0.5,0.9835
batch64_lr0.01_0.01_0.01_dp0.2,0.9833
batch128_lr0.005_0.002_0.001_dp0.5,0.9831
batch128_lr0.01_0.005_0.002_dp0.5,0.9828
batch128_lr0.005_0.005_0.005_dp0.5,0.9587
batch64_lr0.005_0.002_0.001_dp0.5,0.9034
batch64_lr0.01_0.002_0.001_dp0.5,0.8927
batch64_lr0.002_0.002_0.002_dp0.5,0.8856
batch64_lr0.01_0.005_0.001_dp0.5,0.8719
batch64_lr0.01_0.005_0.002_dp0.5,0.8480
batch64_lr0.001_0.001_0.001_dp0.5,0.8032
batch64_lr0.005_0.005_0.005_dp0.5,0.7680
batch64_lr0.01_0.01_0.01_dp0.5,0.5919
