Config,Accuracy
batch64_lr0.01_0.002_0.001_dp0.0,0.9934
batch64_lr0.01_0.005_0.001_dp0.0,0.9921
batch128_lr0.01_0.005_0.001_dp0.0,0.9920
batch128_lr0.01_0.002_0.001_dp0.0,0.9920
batch128_lr0.001_0.001_0.001_dp0.0,0.9920
batch128_lr0.005_0.002_0.001_dp0.0,0.9918
batch256_lr0.01_0.002_0.001_dp0.0,0.9918
batch64_lr0.005_0.002_0.001_dp0.0,0.9916
batch256_lr0.005_0.005_0.005_dp0.0,0.9916
batch64_lr0.001_0.001_0.001_dp0.0,0.9914
batch128_lr0.002_0.002_0.002_dp0.0,0.9913
batch256_lr0.01_0.005_0.002_dp0.0,0.9913
batch256_lr0.01_0.005_0.001_dp0.0,0.9910
batch256_lr0.01_0.01_0.01_dp0.0,0.9909
batch256_lr0.001_0.001_0.001_dp0.0,0.9908
batch64_lr0.01_0.005_0.002_dp0.0,0.9907
batch128_lr0.01_0.01_0.01_dp0.0,0.9906
batch256_lr0.005_0.002_0.001_dp0.0,0.9906
batch128_lr0.01_0.005_0.002_dp0.0,0.9905
batch256_lr0.002_0.002_0.002_dp0.0,0.9905
batch128_lr0.005_0.005_0.005_dp0.0,0.9903
batch64_lr0.005_0.005_0.005_dp0.0,0.9899
batch64_lr0.002_0.002_0.002_dp0.0,0.9898
batch64_lr0.01_0.01_0.01_dp0.0,0.9894
batch64_lr0.01_0.01_0.01_dp0.2,0.9825
batch128_lr0.01_0.005_0.001_dp0.2,0.9783
batch64_lr0.01_0.005_0.001_dp0.2,0.9782
batch128_lr0.01_0.005_0.002_dp0.2,0.9764
batch256_lr0.01_0.005_0.001_dp0.2,0.9759
batch64_lr0.01_0.005_0.002_dp0.2,0.9753
batch64_lr0.01_0.002_0.001_dp0.2,0.9735
batch256_lr0.01_0.002_0.001_dp0.2,0.9698
batch256_lr0.01_0.005_0.002_dp0.2,0.9694
batch128_lr0.01_0.01_0.01_dp0.2,0.9683
batch256_lr0.01_0.01_0.01_dp0.2,0.9673
batch128_lr0.01_0.002_0.001_dp0.2,0.9653
batch128_lr0.005_0.005_0.005_dp0.2,0.9628
batch64_lr0.005_0.002_0.001_dp0.2,0.9604
batch256_lr0.005_0.002_0.001_dp0.2,0.9519
batch64_lr0.005_0.005_0.005_dp0.2,0.9512
batch64_lr0.002_0.002_0.002_dp0.2,0.9461
batch256_lr0.005_0.005_0.005_dp0.2,0.9410
batch128_lr0.005_0.002_0.001_dp0.2,0.9386
batch128_lr0.002_0.002_0.002_dp0.2,0.9259
batch256_lr0.002_0.002_0.002_dp0.2,0.9219
batch64_lr0.001_0.001_0.001_dp0.2,0.9202
batch128_lr0.001_0.001_0.001_dp0.2,0.8783
batch256_lr0.01_0.002_0.001_dp0.5,0.8719
batch256_lr0.01_0.005_0.001_dp0.5,0.8708
batch128_lr0.01_0.005_0.002_dp0.5,0.8667
batch256_lr0.01_0.005_0.002_dp0.5,0.8645
batch128_lr0.01_0.002_0.001_dp0.5,0.8583
batch128_lr0.01_0.005_0.001_dp0.5,0.8526
batch256_lr0.01_0.01_0.01_dp0.5,0.8456
batch256_lr0.005_0.005_0.005_dp0.5,0.8211
batch256_lr0.005_0.002_0.001_dp0.5,0.7926
batch128_lr0.01_0.01_0.01_dp0.5,0.7874
batch128_lr0.005_0.002_0.001_dp0.5,0.7839
batch256_lr0.001_0.001_0.001_dp0.2,0.7781
batch128_lr0.005_0.005_0.005_dp0.5,0.7520
batch128_lr0.002_0.002_0.002_dp0.5,0.7356
batch256_lr0.002_0.002_0.002_dp0.5,0.6986
batch64_lr0.001_0.001_0.001_dp0.5,0.6387
batch64_lr0.002_0.002_0.002_dp0.5,0.6289
batch64_lr0.01_0.002_0.001_dp0.5,0.6141
batch128_lr0.001_0.001_0.001_dp0.5,0.5741
batch64_lr0.005_0.002_0.001_dp0.5,0.5615
batch256_lr0.001_0.001_0.001_dp0.5,0.5555
batch64_lr0.01_0.005_0.001_dp0.5,0.5268
batch64_lr0.01_0.005_0.002_dp0.5,0.4575
batch64_lr0.005_0.005_0.005_dp0.5,0.4371
batch64_lr0.01_0.01_0.01_dp0.5,0.3294
