Config,Accuracy
batch64_lr0.005_0.002_0.001_dp0.0,0.9922
batch256_lr0.01_0.005_0.001_dp0.0,0.9922
batch256_lr0.005_0.002_0.001_dp0.0,0.9921
batch128_lr0.01_0.005_0.002_dp0.0,0.9920
batch128_lr0.005_0.002_0.001_dp0.0,0.9920
batch64_lr0.01_0.002_0.001_dp0.0,0.9918
batch64_lr0.01_0.005_0.001_dp0.0,0.9917
batch128_lr0.01_0.005_0.001_dp0.0,0.9917
batch128_lr0.005_0.005_0.005_dp0.0,0.9917
batch128_lr0.01_0.01_0.01_dp0.0,0.9915
batch256_lr0.01_0.005_0.002_dp0.0,0.9915
batch256_lr0.005_0.005_0.005_dp0.0,0.9915
batch256_lr0.01_0.002_0.001_dp0.2,0.9914
batch256_lr0.002_0.002_0.002_dp0.0,0.9913
batch64_lr0.01_0.005_0.002_dp0.0,0.9912
batch64_lr0.002_0.002_0.002_dp0.0,0.9912
batch128_lr0.005_0.002_0.001_dp0.2,0.9912
batch256_lr0.01_0.005_0.001_dp0.2,0.9912
batch256_lr0.005_0.002_0.001_dp0.2,0.9912
batch128_lr0.01_0.002_0.001_dp0.0,0.9911
batch128_lr0.01_0.005_0.001_dp0.2,0.9910
batch64_lr0.01_0.002_0.001_dp0.2,0.9909
batch128_lr0.002_0.002_0.002_dp0.2,0.9909
batch128_lr0.001_0.001_0.001_dp0.0,0.9908
batch128_lr0.001_0.001_0.001_dp0.2,0.9908
batch256_lr0.01_0.002_0.001_dp0.0,0.9908
batch64_lr0.005_0.002_0.001_dp0.2,0.9906
batch128_lr0.01_0.002_0.001_dp0.2,0.9906
batch256_lr0.005_0.005_0.005_dp0.2,0.9906
batch128_lr0.002_0.002_0.002_dp0.0,0.9905
batch256_lr0.001_0.001_0.001_dp0.2,0.9905
batch64_lr0.01_0.005_0.002_dp0.2,0.9903
batch64_lr0.001_0.001_0.001_dp0.2,0.9903
batch256_lr0.001_0.001_0.001_dp0.0,0.9903
batch128_lr0.01_0.005_0.002_dp0.2,0.9902
batch256_lr0.002_0.002_0.002_dp0.2,0.9901
batch64_lr0.01_0.005_0.001_dp0.2,0.9898
batch256_lr0.01_0.005_0.002_dp0.5,0.9897
batch64_lr0.001_0.001_0.001_dp0.0,0.9895
batch256_lr0.01_0.005_0.002_dp0.2,0.9894
batch64_lr0.01_0.01_0.01_dp0.0,0.9890
batch64_lr0.005_0.005_0.005_dp0.0,0.9890
batch64_lr0.002_0.002_0.002_dp0.2,0.9890
batch128_lr0.005_0.005_0.005_dp0.2,0.9887
batch256_lr0.01_0.01_0.01_dp0.2,0.9887
batch256_lr0.005_0.002_0.001_dp0.5,0.9887
batch128_lr0.01_0.01_0.01_dp0.2,0.9884
batch128_lr0.01_0.002_0.001_dp0.5,0.9884
batch256_lr0.01_0.01_0.01_dp0.0,0.9883
batch256_lr0.01_0.002_0.001_dp0.5,0.9876
batch64_lr0.01_0.01_0.01_dp0.2,0.9875
batch128_lr0.005_0.005_0.005_dp0.5,0.9866
batch128_lr0.005_0.002_0.001_dp0.5,0.9865
batch128_lr0.01_0.005_0.002_dp0.5,0.9864
batch128_lr0.01_0.005_0.001_dp0.5,0.9864
batch128_lr0.01_0.01_0.01_dp0.5,0.9863
batch256_lr0.01_0.005_0.001_dp0.5,0.9862
batch256_lr0.005_0.005_0.005_dp0.5,0.9856
batch256_lr0.01_0.01_0.01_dp0.5,0.9846
batch64_lr0.005_0.005_0.005_dp0.2,0.9845
batch128_lr0.001_0.001_0.001_dp0.5,0.9840
batch256_lr0.001_0.001_0.001_dp0.5,0.9829
batch128_lr0.002_0.002_0.002_dp0.5,0.9818
batch256_lr0.002_0.002_0.002_dp0.5,0.9783
batch64_lr0.01_0.002_0.001_dp0.5,0.9711
batch64_lr0.01_0.005_0.001_dp0.5,0.9691
batch64_lr0.01_0.005_0.002_dp0.5,0.9659
batch64_lr0.005_0.002_0.001_dp0.5,0.9563
batch64_lr0.001_0.001_0.001_dp0.5,0.9549
batch64_lr0.005_0.005_0.005_dp0.5,0.9361
batch64_lr0.002_0.002_0.002_dp0.5,0.9289
batch64_lr0.01_0.01_0.01_dp0.5,0.8807
