Config,Accuracy
batch128_lr0.005_0.002_0.001_dp0.0,0.9926
batch64_lr0.01_0.002_0.001_dp0.0,0.9923
batch64_lr0.005_0.002_0.001_dp0.0,0.9923
batch128_lr0.01_0.005_0.002_dp0.0,0.9921
batch128_lr0.01_0.005_0.001_dp0.0,0.9916
batch256_lr0.01_0.002_0.001_dp0.0,0.9916
batch256_lr0.01_0.005_0.001_dp0.0,0.9915
batch256_lr0.01_0.005_0.002_dp0.2,0.9914
batch256_lr0.005_0.002_0.001_dp0.0,0.9914
batch64_lr0.01_0.005_0.001_dp0.0,0.9912
batch64_lr0.001_0.001_0.001_dp0.0,0.9912
batch128_lr0.01_0.005_0.002_dp0.2,0.9912
batch256_lr0.01_0.005_0.002_dp0.0,0.9911
batch64_lr0.01_0.002_0.001_dp0.2,0.9910
batch64_lr0.01_0.005_0.002_dp0.0,0.9909
batch64_lr0.005_0.002_0.001_dp0.2,0.9909
batch128_lr0.01_0.005_0.001_dp0.2,0.9907
batch128_lr0.01_0.002_0.001_dp0.0,0.9907
batch128_lr0.01_0.002_0.001_dp0.2,0.9906
batch128_lr0.001_0.001_0.001_dp0.2,0.9906
batch256_lr0.01_0.002_0.001_dp0.2,0.9906
batch256_lr0.005_0.005_0.005_dp0.0,0.9906
batch256_lr0.005_0.002_0.001_dp0.2,0.9906
batch256_lr0.01_0.01_0.01_dp0.2,0.9905
batch256_lr0.01_0.005_0.001_dp0.2,0.9904
batch128_lr0.01_0.01_0.01_dp0.0,0.9903
batch128_lr0.005_0.002_0.001_dp0.2,0.9903
batch64_lr0.001_0.001_0.001_dp0.2,0.9901
batch128_lr0.002_0.002_0.002_dp0.2,0.9901
batch64_lr0.01_0.005_0.001_dp0.2,0.9898
batch256_lr0.01_0.01_0.01_dp0.0,0.9897
batch128_lr0.001_0.001_0.001_dp0.0,0.9896
batch256_lr0.002_0.002_0.002_dp0.0,0.9896
batch256_lr0.001_0.001_0.001_dp0.0,0.9896
batch64_lr0.005_0.005_0.005_dp0.0,0.9895
batch128_lr0.01_0.01_0.01_dp0.2,0.9895
batch128_lr0.005_0.005_0.005_dp0.2,0.9893
batch64_lr0.01_0.01_0.01_dp0.0,0.9892
batch64_lr0.005_0.005_0.005_dp0.2,0.9890
batch64_lr0.01_0.005_0.002_dp0.2,0.9889
batch64_lr0.002_0.002_0.002_dp0.2,0.9889
batch256_lr0.005_0.005_0.005_dp0.2,0.9889
batch64_lr0.002_0.002_0.002_dp0.0,0.9887
batch128_lr0.002_0.002_0.002_dp0.0,0.9884
batch128_lr0.005_0.005_0.005_dp0.0,0.9883
batch64_lr0.01_0.01_0.01_dp0.2,0.9875
batch256_lr0.001_0.001_0.001_dp0.2,0.9875
batch256_lr0.002_0.002_0.002_dp0.2,0.9871
batch256_lr0.01_0.01_0.01_dp0.5,0.9812
batch256_lr0.01_0.005_0.002_dp0.5,0.9807
batch128_lr0.01_0.002_0.001_dp0.5,0.9798
batch256_lr0.01_0.005_0.001_dp0.5,0.9792
batch128_lr0.002_0.002_0.002_dp0.5,0.9791
batch128_lr0.01_0.005_0.002_dp0.5,0.9790
batch256_lr0.002_0.002_0.002_dp0.5,0.9785
batch128_lr0.01_0.01_0.01_dp0.5,0.9779
batch256_lr0.005_0.002_0.001_dp0.5,0.9777
batch128_lr0.005_0.002_0.001_dp0.5,0.9775
batch128_lr0.01_0.005_0.001_dp0.5,0.9763
batch128_lr0.005_0.005_0.005_dp0.5,0.9760
batch256_lr0.01_0.002_0.001_dp0.5,0.9750
batch256_lr0.005_0.005_0.005_dp0.5,0.9732
batch256_lr0.001_0.001_0.001_dp0.5,0.9725
batch64_lr0.001_0.001_0.001_dp0.5,0.9650
batch128_lr0.001_0.001_0.001_dp0.5,0.9616
batch64_lr0.005_0.002_0.001_dp0.5,0.9563
batch64_lr0.01_0.002_0.001_dp0.5,0.9557
batch64_lr0.002_0.002_0.002_dp0.5,0.9524
batch64_lr0.005_0.005_0.005_dp0.5,0.9464
batch64_lr0.01_0.005_0.002_dp0.5,0.9459
batch64_lr0.01_0.005_0.001_dp0.5,0.9411
batch64_lr0.01_0.01_0.01_dp0.5,0.9151
