Config,Accuracy
batch128_lr0.01_0.005_0.001_dp0.0,0.9910
batch128_lr0.01_0.002_0.001_dp0.0,0.9905
batch64_lr0.01_0.005_0.001_dp0.0,0.9901
batch64_lr0.01_0.002_0.001_dp0.0,0.9898
batch64_lr0.005_0.002_0.001_dp0.0,0.9898
batch256_lr0.01_0.01_0.01_dp0.0,0.9896
batch64_lr0.01_0.005_0.002_dp0.0,0.9893
batch128_lr0.01_0.005_0.002_dp0.0,0.9893
batch256_lr0.005_0.005_0.005_dp0.0,0.9892
batch64_lr0.001_0.001_0.001_dp0.0,0.9890
batch128_lr0.005_0.002_0.001_dp0.0,0.9889
batch256_lr0.001_0.001_0.001_dp0.0,0.9888
batch256_lr0.01_0.002_0.001_dp0.0,0.9887
batch128_lr0.001_0.001_0.001_dp0.0,0.9886
batch256_lr0.005_0.002_0.001_dp0.0,0.9883
batch256_lr0.01_0.005_0.002_dp0.0,0.9882
batch64_lr0.01_0.01_0.01_dp0.0,0.9881
batch128_lr0.002_0.002_0.002_dp0.0,0.9881
batch128_lr0.01_0.01_0.01_dp0.0,0.9879
batch64_lr0.002_0.002_0.002_dp0.0,0.9878
batch256_lr0.002_0.002_0.002_dp0.0,0.9878
batch256_lr0.01_0.005_0.001_dp0.0,0.9877
batch128_lr0.005_0.005_0.005_dp0.0,0.9866
batch64_lr0.005_0.005_0.005_dp0.0,0.9861
batch128_lr0.01_0.01_0.01_dp0.2,0.9798
batch64_lr0.01_0.005_0.001_dp0.2,0.9797
batch128_lr0.01_0.005_0.001_dp0.2,0.9767
batch128_lr0.01_0.002_0.001_dp0.2,0.9763
batch64_lr0.01_0.002_0.001_dp0.2,0.9745
batch64_lr0.01_0.005_0.002_dp0.2,0.9737
batch256_lr0.01_0.01_0.01_dp0.2,0.9728
batch128_lr0.01_0.005_0.002_dp0.2,0.9690
batch64_lr0.005_0.002_0.001_dp0.2,0.9689
batch128_lr0.005_0.005_0.005_dp0.2,0.9685
batch64_lr0.01_0.01_0.01_dp0.2,0.9680
batch128_lr0.005_0.002_0.001_dp0.2,0.9660
batch64_lr0.005_0.005_0.005_dp0.2,0.9609
batch256_lr0.01_0.002_0.001_dp0.2,0.9585
batch256_lr0.01_0.005_0.002_dp0.2,0.9560
batch64_lr0.002_0.002_0.002_dp0.2,0.9550
batch256_lr0.01_0.005_0.001_dp0.2,0.9507
batch128_lr0.002_0.002_0.002_dp0.2,0.9343
batch256_lr0.002_0.002_0.002_dp0.2,0.9276
batch64_lr0.001_0.001_0.001_dp0.2,0.9209
batch256_lr0.005_0.002_0.001_dp0.2,0.9080
batch256_lr0.005_0.005_0.005_dp0.2,0.9051
batch128_lr0.001_0.001_0.001_dp0.2,0.8727
batch128_lr0.01_0.002_0.001_dp0.5,0.8567
batch256_lr0.001_0.001_0.001_dp0.2,0.8514
batch128_lr0.01_0.005_0.001_dp0.5,0.8358
batch128_lr0.01_0.005_0.002_dp0.5,0.8017
batch256_lr0.01_0.005_0.001_dp0.5,0.7892
batch64_lr0.002_0.002_0.002_dp0.5,0.7856
batch256_lr0.01_0.002_0.001_dp0.5,0.7850
batch64_lr0.005_0.002_0.001_dp0.5,0.7848
batch256_lr0.01_0.005_0.002_dp0.5,0.7828
batch128_lr0.01_0.01_0.01_dp0.5,0.7754
batch256_lr0.01_0.01_0.01_dp0.5,0.7558
batch256_lr0.005_0.005_0.005_dp0.5,0.7491
batch256_lr0.005_0.002_0.001_dp0.5,0.7287
batch128_lr0.005_0.002_0.001_dp0.5,0.7275
batch64_lr0.01_0.005_0.001_dp0.5,0.7251
batch128_lr0.005_0.005_0.005_dp0.5,0.7195
batch64_lr0.01_0.002_0.001_dp0.5,0.7122
batch128_lr0.002_0.002_0.002_dp0.5,0.7001
batch128_lr0.001_0.001_0.001_dp0.5,0.6664
batch64_lr0.005_0.005_0.005_dp0.5,0.6469
batch64_lr0.01_0.005_0.002_dp0.5,0.6467
batch256_lr0.002_0.002_0.002_dp0.5,0.6418
batch64_lr0.001_0.001_0.001_dp0.5,0.6137
batch256_lr0.001_0.001_0.001_dp0.5,0.5615
batch64_lr0.01_0.01_0.01_dp0.5,0.4966
