Config,Accuracy
batch256_lr0.01_0.005_0.001_dp0.5,0.9944
batch64_lr0.001_0.001_0.001_dp0.2,0.9943
batch64_lr0.005_0.002_0.001_dp0.2,0.9942
batch128_lr0.005_0.002_0.001_dp0.0,0.9942
batch256_lr0.01_0.005_0.002_dp0.5,0.9942
batch128_lr0.002_0.002_0.002_dp0.0,0.9941
batch256_lr0.01_0.005_0.002_dp0.2,0.9941
batch128_lr0.01_0.002_0.001_dp0.0,0.9940
batch64_lr0.01_0.002_0.001_dp0.2,0.9939
batch64_lr0.01_0.002_0.001_dp0.0,0.9938
batch128_lr0.01_0.002_0.001_dp0.2,0.9938
batch128_lr0.005_0.005_0.005_dp0.2,0.9938
batch256_lr0.01_0.002_0.001_dp0.2,0.9938
batch256_lr0.01_0.005_0.002_dp0.0,0.9937
batch256_lr0.01_0.002_0.001_dp0.5,0.9937
batch256_lr0.01_0.01_0.01_dp0.2,0.9936
batch256_lr0.01_0.005_0.001_dp0.0,0.9936
batch256_lr0.01_0.005_0.001_dp0.2,0.9936
batch256_lr0.005_0.002_0.001_dp0.0,0.9936
batch64_lr0.01_0.005_0.002_dp0.0,0.9935
batch64_lr0.01_0.005_0.002_dp0.2,0.9935
batch128_lr0.01_0.005_0.001_dp0.0,0.9935
batch64_lr0.01_0.005_0.001_dp0.0,0.9934
batch64_lr0.005_0.002_0.001_dp0.0,0.9934
batch128_lr0.01_0.005_0.001_dp0.2,0.9934
batch128_lr0.005_0.002_0.001_dp0.2,0.9934
batch256_lr0.005_0.002_0.001_dp0.2,0.9934
batch64_lr0.01_0.005_0.001_dp0.2,0.9933
batch128_lr0.01_0.005_0.002_dp0.5,0.9932
batch128_lr0.001_0.001_0.001_dp0.0,0.9932
batch64_lr0.002_0.002_0.002_dp0.5,0.9931
batch128_lr0.01_0.002_0.001_dp0.5,0.9931
batch256_lr0.002_0.002_0.002_dp0.2,0.9931
batch128_lr0.002_0.002_0.002_dp0.2,0.9930
batch256_lr0.005_0.002_0.001_dp0.5,0.9930
batch256_lr0.01_0.01_0.01_dp0.5,0.9929
batch256_lr0.01_0.002_0.001_dp0.0,0.9929
batch128_lr0.01_0.01_0.01_dp0.0,0.9928
batch128_lr0.01_0.005_0.002_dp0.2,0.9928
batch128_lr0.01_0.005_0.002_dp0.0,0.9927
batch256_lr0.005_0.005_0.005_dp0.5,0.9927
batch256_lr0.005_0.005_0.005_dp0.0,0.9926
batch256_lr0.001_0.001_0.001_dp0.2,0.9926
batch64_lr0.005_0.005_0.005_dp0.2,0.9925
batch64_lr0.005_0.002_0.001_dp0.5,0.9925
batch64_lr0.005_0.005_0.005_dp0.0,0.9923
batch64_lr0.002_0.002_0.002_dp0.0,0.9923
batch256_lr0.001_0.001_0.001_dp0.0,0.9923
batch64_lr0.001_0.001_0.001_dp0.0,0.9922
batch256_lr0.001_0.001_0.001_dp0.5,0.9922
batch128_lr0.01_0.01_0.01_dp0.2,0.9921
batch64_lr0.01_0.01_0.01_dp0.0,0.9920
batch64_lr0.002_0.002_0.002_dp0.2,0.9919
batch128_lr0.01_0.005_0.001_dp0.5,0.9919
batch128_lr0.005_0.005_0.005_dp0.5,0.9919
batch128_lr0.005_0.002_0.001_dp0.5,0.9919
batch64_lr0.01_0.002_0.001_dp0.5,0.9918
batch128_lr0.005_0.005_0.005_dp0.0,0.9917
batch128_lr0.001_0.001_0.001_dp0.2,0.9917
batch256_lr0.005_0.005_0.005_dp0.2,0.9915
batch256_lr0.002_0.002_0.002_dp0.0,0.9915
batch128_lr0.002_0.002_0.002_dp0.5,0.9913
batch256_lr0.01_0.01_0.01_dp0.0,0.9911
batch64_lr0.01_0.005_0.001_dp0.5,0.9908
batch128_lr0.01_0.01_0.01_dp0.5,0.9905
batch64_lr0.01_0.01_0.01_dp0.2,0.9901
batch128_lr0.001_0.001_0.001_dp0.5,0.9898
batch64_lr0.01_0.005_0.002_dp0.5,0.9885
batch256_lr0.002_0.002_0.002_dp0.5,0.9873
batch64_lr0.001_0.001_0.001_dp0.5,0.9865
batch64_lr0.01_0.01_0.01_dp0.5,0.9860
batch64_lr0.005_0.005_0.005_dp0.5,0.9839
