Config,Accuracy
batch128_lr0.005_0.002_0.001_dp0.2,0.9847
batch128_lr0.01_0.002_0.001_dp0.2,0.9846
batch128_lr0.005_0.002_0.001_dp0.5,0.9846
batch64_lr0.005_0.002_0.001_dp0.5,0.9845
batch64_lr0.01_0.002_0.001_dp0.5,0.9844
batch64_lr0.001_0.001_0.001_dp0.5,0.9844
batch128_lr0.01_0.002_0.001_dp0.5,0.9844
batch256_lr0.01_0.005_0.002_dp0.5,0.9844
batch256_lr0.005_0.002_0.001_dp0.5,0.9844
batch128_lr0.01_0.005_0.002_dp0.5,0.9843
batch64_lr0.01_0.002_0.001_dp0.2,0.9842
batch128_lr0.001_0.001_0.001_dp0.5,0.9842
batch256_lr0.01_0.005_0.001_dp0.2,0.9841
batch256_lr0.01_0.005_0.001_dp0.5,0.9841
batch128_lr0.01_0.005_0.001_dp0.5,0.9840
batch256_lr0.01_0.005_0.002_dp0.2,0.9838
batch256_lr0.01_0.002_0.001_dp0.5,0.9838
batch128_lr0.01_0.005_0.002_dp0.2,0.9837
batch128_lr0.002_0.002_0.002_dp0.5,0.9837
batch256_lr0.005_0.002_0.001_dp0.2,0.9837
batch256_lr0.002_0.002_0.002_dp0.5,0.9836
batch64_lr0.01_0.005_0.001_dp0.2,0.9835
batch128_lr0.01_0.005_0.001_dp0.2,0.9835
batch128_lr0.005_0.002_0.001_dp0.0,0.9834
batch64_lr0.01_0.005_0.001_dp0.5,0.9832
batch64_lr0.005_0.002_0.001_dp0.2,0.9832
batch64_lr0.01_0.005_0.002_dp0.2,0.9831
batch64_lr0.001_0.001_0.001_dp0.2,0.9831
batch64_lr0.01_0.005_0.002_dp0.5,0.9830
batch64_lr0.002_0.002_0.002_dp0.2,0.9830
batch64_lr0.005_0.002_0.001_dp0.0,0.9829
batch256_lr0.01_0.002_0.001_dp0.2,0.9829
batch256_lr0.005_0.005_0.005_dp0.5,0.9829
batch128_lr0.005_0.005_0.005_dp0.5,0.9828
batch64_lr0.002_0.002_0.002_dp0.5,0.9826
batch128_lr0.01_0.005_0.001_dp0.0,0.9826
batch128_lr0.001_0.001_0.001_dp0.2,0.9826
batch256_lr0.002_0.002_0.002_dp0.0,0.9826
batch256_lr0.001_0.001_0.001_dp0.5,0.9826
batch64_lr0.005_0.005_0.005_dp0.5,0.9825
batch256_lr0.01_0.005_0.002_dp0.0,0.9823
batch64_lr0.01_0.002_0.001_dp0.0,0.9822
batch128_lr0.01_0.005_0.002_dp0.0,0.9822
batch128_lr0.002_0.002_0.002_dp0.2,0.9822
batch256_lr0.01_0.01_0.01_dp0.5,0.9822
batch256_lr0.01_0.002_0.001_dp0.0,0.9822
batch64_lr0.005_0.005_0.005_dp0.2,0.9820
batch128_lr0.001_0.001_0.001_dp0.0,0.9818
batch128_lr0.005_0.005_0.005_dp0.2,0.9817
batch256_lr0.005_0.005_0.005_dp0.2,0.9816
batch256_lr0.002_0.002_0.002_dp0.2,0.9816
batch64_lr0.01_0.01_0.01_dp0.5,0.9815
batch128_lr0.01_0.002_0.001_dp0.0,0.9815
batch256_lr0.005_0.002_0.001_dp0.0,0.9814
batch256_lr0.01_0.005_0.001_dp0.0,0.9812
batch128_lr0.002_0.002_0.002_dp0.0,0.9811
batch64_lr0.01_0.005_0.002_dp0.0,0.9810
batch64_lr0.002_0.002_0.002_dp0.0,0.9810
batch64_lr0.001_0.001_0.001_dp0.0,0.9810
batch256_lr0.01_0.01_0.01_dp0.2,0.9808
batch64_lr0.01_0.01_0.01_dp0.2,0.9804
batch64_lr0.01_0.005_0.001_dp0.0,0.9804
batch256_lr0.005_0.005_0.005_dp0.0,0.9801
batch256_lr0.001_0.001_0.001_dp0.0,0.9801
batch256_lr0.001_0.001_0.001_dp0.2,0.9801
batch128_lr0.01_0.01_0.01_dp0.5,0.9796
batch128_lr0.01_0.01_0.01_dp0.0,0.9795
batch256_lr0.01_0.01_0.01_dp0.0,0.9793
batch64_lr0.005_0.005_0.005_dp0.0,0.9789
batch128_lr0.01_0.01_0.01_dp0.2,0.9789
batch128_lr0.005_0.005_0.005_dp0.0,0.9786
batch64_lr0.01_0.01_0.01_dp0.0,0.9767
