Config,Accuracy
batch64_lr0.01_0.002_0.001_dp0.2,0.9844
batch64_lr0.01_0.002_0.001_dp0.5,0.9844
batch64_lr0.01_0.005_0.002_dp0.5,0.9843
batch64_lr0.01_0.005_0.001_dp0.5,0.9843
batch128_lr0.01_0.005_0.002_dp0.5,0.9839
batch64_lr0.01_0.005_0.002_dp0.2,0.9835
batch64_lr0.01_0.005_0.001_dp0.2,0.9834
batch64_lr0.01_0.002_0.001_dp0.0,0.9834
batch128_lr0.01_0.005_0.001_dp0.5,0.9834
batch64_lr0.01_0.01_0.01_dp0.5,0.9831
batch64_lr0.005_0.002_0.001_dp0.2,0.9831
batch64_lr0.005_0.002_0.001_dp0.5,0.9830
batch128_lr0.01_0.002_0.001_dp0.5,0.9828
batch256_lr0.01_0.01_0.01_dp0.5,0.9828
batch128_lr0.01_0.002_0.001_dp0.2,0.9824
batch128_lr0.005_0.002_0.001_dp0.0,0.9824
batch256_lr0.01_0.005_0.002_dp0.5,0.9824
batch256_lr0.005_0.002_0.001_dp0.2,0.9821
batch64_lr0.005_0.002_0.001_dp0.0,0.9820
batch64_lr0.01_0.005_0.001_dp0.0,0.9819
batch128_lr0.01_0.005_0.002_dp0.0,0.9819
batch128_lr0.01_0.002_0.001_dp0.0,0.9819
batch128_lr0.01_0.01_0.01_dp0.5,0.9817
batch128_lr0.01_0.005_0.002_dp0.2,0.9817
batch256_lr0.01_0.005_0.001_dp0.5,0.9817
batch256_lr0.01_0.005_0.001_dp0.0,0.9815
batch256_lr0.01_0.002_0.001_dp0.5,0.9815
batch128_lr0.01_0.005_0.001_dp0.0,0.9814
batch64_lr0.01_0.005_0.002_dp0.0,0.9813
batch256_lr0.01_0.002_0.001_dp0.2,0.9811
batch128_lr0.005_0.002_0.001_dp0.2,0.9810
batch128_lr0.01_0.01_0.01_dp0.2,0.9809
batch128_lr0.01_0.005_0.001_dp0.2,0.9809
batch256_lr0.01_0.005_0.001_dp0.2,0.9809
batch256_lr0.01_0.002_0.001_dp0.0,0.9809
batch64_lr0.005_0.005_0.005_dp0.5,0.9808
batch64_lr0.001_0.001_0.001_dp0.0,0.9808
batch128_lr0.005_0.002_0.001_dp0.5,0.9808
batch128_lr0.002_0.002_0.002_dp0.2,0.9808
batch64_lr0.001_0.001_0.001_dp0.2,0.9806
batch256_lr0.005_0.002_0.001_dp0.5,0.9805
batch64_lr0.002_0.002_0.002_dp0.5,0.9804
batch64_lr0.01_0.01_0.01_dp0.2,0.9803
batch256_lr0.01_0.005_0.002_dp0.2,0.9803
batch128_lr0.005_0.005_0.005_dp0.5,0.9801
batch256_lr0.005_0.005_0.005_dp0.5,0.9801
batch128_lr0.005_0.005_0.005_dp0.2,0.9800
batch64_lr0.005_0.005_0.005_dp0.2,0.9798
batch128_lr0.002_0.002_0.002_dp0.5,0.9798
batch256_lr0.005_0.002_0.001_dp0.0,0.9797
batch256_lr0.002_0.002_0.002_dp0.2,0.9796
batch64_lr0.002_0.002_0.002_dp0.2,0.9795
batch128_lr0.001_0.001_0.001_dp0.2,0.9793
batch128_lr0.002_0.002_0.002_dp0.0,0.9789
batch256_lr0.001_0.001_0.001_dp0.0,0.9789
batch64_lr0.01_0.01_0.01_dp0.0,0.9788
batch256_lr0.01_0.01_0.01_dp0.0,0.9787
batch128_lr0.001_0.001_0.001_dp0.5,0.9786
batch64_lr0.001_0.001_0.001_dp0.5,0.9785
batch128_lr0.001_0.001_0.001_dp0.0,0.9784
batch256_lr0.01_0.01_0.01_dp0.2,0.9784
batch64_lr0.005_0.005_0.005_dp0.0,0.9781
batch128_lr0.01_0.01_0.01_dp0.0,0.9779
batch256_lr0.001_0.001_0.001_dp0.2,0.9779
batch256_lr0.005_0.005_0.005_dp0.2,0.9771
batch256_lr0.002_0.002_0.002_dp0.5,0.9769
batch256_lr0.001_0.001_0.001_dp0.5,0.9762
batch256_lr0.002_0.002_0.002_dp0.0,0.9748
batch256_lr0.01_0.005_0.002_dp0.0,0.9746
batch64_lr0.002_0.002_0.002_dp0.0,0.9709
batch128_lr0.005_0.005_0.005_dp0.0,0.9333
batch256_lr0.005_0.005_0.005_dp0.0,0.9269
