Config,Accuracy
batch128_lr0.01_0.005_0.001_dp0.2,0.9870
batch128_lr0.01_0.005_0.001_dp0.5,0.9870
batch64_lr0.01_0.01_0.01_dp0.5,0.9869
batch128_lr0.005_0.002_0.001_dp0.5,0.9869
batch64_lr0.01_0.005_0.002_dp0.5,0.9868
batch64_lr0.01_0.005_0.001_dp0.2,0.9868
batch64_lr0.01_0.005_0.001_dp0.5,0.9868
batch64_lr0.01_0.002_0.001_dp0.5,0.9867
batch128_lr0.01_0.002_0.001_dp0.2,0.9867
batch128_lr0.01_0.002_0.001_dp0.5,0.9867
batch128_lr0.01_0.005_0.002_dp0.5,0.9865
batch64_lr0.01_0.005_0.002_dp0.2,0.9864
batch128_lr0.01_0.01_0.01_dp0.5,0.9864
batch256_lr0.005_0.002_0.001_dp0.5,0.9864
batch64_lr0.01_0.005_0.001_dp0.0,0.9863
batch128_lr0.01_0.005_0.002_dp0.2,0.9863
batch64_lr0.01_0.002_0.001_dp0.2,0.9859
batch64_lr0.005_0.002_0.001_dp0.5,0.9859
batch64_lr0.005_0.005_0.005_dp0.2,0.9858
batch256_lr0.01_0.005_0.002_dp0.5,0.9857
batch256_lr0.01_0.005_0.001_dp0.5,0.9857
batch64_lr0.01_0.002_0.001_dp0.0,0.9856
batch256_lr0.01_0.002_0.001_dp0.5,0.9856
batch64_lr0.005_0.005_0.005_dp0.5,0.9855
batch128_lr0.005_0.002_0.001_dp0.2,0.9855
batch64_lr0.005_0.002_0.001_dp0.2,0.9854
batch128_lr0.01_0.002_0.001_dp0.0,0.9854
batch256_lr0.005_0.002_0.001_dp0.2,0.9854
batch64_lr0.01_0.01_0.01_dp0.2,0.9852
batch64_lr0.01_0.005_0.002_dp0.0,0.9852
batch128_lr0.01_0.005_0.001_dp0.0,0.9852
batch64_lr0.002_0.002_0.002_dp0.2,0.9850
batch256_lr0.01_0.01_0.01_dp0.5,0.9850
batch256_lr0.01_0.005_0.001_dp0.0,0.9850
batch256_lr0.01_0.002_0.001_dp0.2,0.9850
batch256_lr0.01_0.005_0.001_dp0.2,0.9848
batch64_lr0.002_0.002_0.002_dp0.5,0.9847
batch128_lr0.01_0.005_0.002_dp0.0,0.9847
batch128_lr0.005_0.002_0.001_dp0.0,0.9847
batch64_lr0.005_0.002_0.001_dp0.0,0.9845
batch128_lr0.01_0.01_0.01_dp0.2,0.9845
batch128_lr0.005_0.005_0.005_dp0.5,0.9845
batch128_lr0.002_0.002_0.002_dp0.5,0.9845
batch256_lr0.005_0.005_0.005_dp0.5,0.9845
batch256_lr0.002_0.002_0.002_dp0.5,0.9841
batch64_lr0.001_0.001_0.001_dp0.5,0.9840
batch256_lr0.01_0.01_0.01_dp0.0,0.9840
batch256_lr0.01_0.005_0.002_dp0.2,0.9839
batch256_lr0.002_0.002_0.002_dp0.2,0.9838
batch256_lr0.01_0.002_0.001_dp0.0,0.9836
batch256_lr0.005_0.002_0.001_dp0.0,0.9836
batch128_lr0.001_0.001_0.001_dp0.5,0.9835
batch64_lr0.01_0.01_0.01_dp0.0,0.9834
batch64_lr0.001_0.001_0.001_dp0.0,0.9834
batch128_lr0.005_0.005_0.005_dp0.2,0.9834
batch256_lr0.01_0.005_0.002_dp0.0,0.9834
batch64_lr0.001_0.001_0.001_dp0.2,0.9832
batch64_lr0.005_0.005_0.005_dp0.0,0.9830
batch128_lr0.002_0.002_0.002_dp0.2,0.9828
batch256_lr0.01_0.01_0.01_dp0.2,0.9828
batch256_lr0.002_0.002_0.002_dp0.0,0.9828
batch128_lr0.01_0.01_0.01_dp0.0,0.9821
batch256_lr0.005_0.005_0.005_dp0.0,0.9821
batch256_lr0.005_0.005_0.005_dp0.2,0.9821
batch128_lr0.001_0.001_0.001_dp0.2,0.9819
batch256_lr0.001_0.001_0.001_dp0.5,0.9819
batch64_lr0.002_0.002_0.002_dp0.0,0.9812
batch128_lr0.002_0.002_0.002_dp0.0,0.9809
batch256_lr0.001_0.001_0.001_dp0.0,0.9807
batch128_lr0.005_0.005_0.005_dp0.0,0.9804
batch256_lr0.001_0.001_0.001_dp0.2,0.9792
batch128_lr0.001_0.001_0.001_dp0.0,0.9783
