Config,Accuracy
batch64_lr0.01_0.005_0.002_dp0.2,0.9878
batch128_lr0.005_0.002_0.001_dp0.5,0.9878
batch64_lr0.005_0.002_0.001_dp0.5,0.9877
batch64_lr0.001_0.001_0.001_dp0.5,0.9877
batch64_lr0.01_0.002_0.001_dp0.5,0.9876
batch256_lr0.01_0.005_0.001_dp0.5,0.9875
batch64_lr0.01_0.002_0.001_dp0.2,0.9874
batch64_lr0.01_0.005_0.001_dp0.5,0.9873
batch128_lr0.01_0.005_0.001_dp0.5,0.9873
batch256_lr0.01_0.002_0.001_dp0.5,0.9873
batch256_lr0.01_0.005_0.002_dp0.5,0.9872
batch128_lr0.01_0.002_0.001_dp0.5,0.9871
batch128_lr0.01_0.005_0.002_dp0.5,0.9869
batch128_lr0.005_0.005_0.005_dp0.5,0.9869
batch128_lr0.001_0.001_0.001_dp0.5,0.9869
batch256_lr0.002_0.002_0.002_dp0.5,0.9869
batch64_lr0.01_0.005_0.002_dp0.5,0.9868
batch64_lr0.01_0.005_0.001_dp0.2,0.9868
batch64_lr0.002_0.002_0.002_dp0.2,0.9868
batch128_lr0.01_0.005_0.002_dp0.2,0.9868
batch64_lr0.01_0.002_0.001_dp0.0,0.9867
batch256_lr0.001_0.001_0.001_dp0.5,0.9867
batch128_lr0.01_0.002_0.001_dp0.2,0.9866
batch256_lr0.01_0.005_0.001_dp0.0,0.9866
batch256_lr0.01_0.005_0.001_dp0.2,0.9866
batch256_lr0.005_0.002_0.001_dp0.5,0.9866
batch128_lr0.01_0.01_0.01_dp0.5,0.9865
batch64_lr0.002_0.002_0.002_dp0.5,0.9864
batch128_lr0.01_0.002_0.001_dp0.0,0.9864
batch256_lr0.01_0.005_0.002_dp0.0,0.9864
batch64_lr0.01_0.01_0.01_dp0.5,0.9863
batch128_lr0.01_0.005_0.001_dp0.2,0.9863
batch256_lr0.01_0.01_0.01_dp0.5,0.9863
batch64_lr0.005_0.005_0.005_dp0.2,0.9862
batch128_lr0.005_0.002_0.001_dp0.0,0.9862
batch256_lr0.01_0.005_0.002_dp0.2,0.9861
batch256_lr0.01_0.002_0.001_dp0.2,0.9861
batch256_lr0.005_0.005_0.005_dp0.2,0.9861
batch64_lr0.005_0.005_0.005_dp0.5,0.9859
batch64_lr0.005_0.002_0.001_dp0.2,0.9859
batch256_lr0.005_0.002_0.001_dp0.2,0.9859
batch128_lr0.01_0.005_0.001_dp0.0,0.9858
batch128_lr0.005_0.002_0.001_dp0.2,0.9857
batch64_lr0.01_0.005_0.001_dp0.0,0.9856
batch256_lr0.002_0.002_0.002_dp0.2,0.9856
batch64_lr0.005_0.002_0.001_dp0.0,0.9854
batch256_lr0.01_0.002_0.001_dp0.0,0.9854
batch64_lr0.01_0.005_0.002_dp0.0,0.9852
batch64_lr0.01_0.01_0.01_dp0.2,0.9851
batch128_lr0.01_0.01_0.01_dp0.0,0.9851
batch128_lr0.01_0.005_0.002_dp0.0,0.9851
batch128_lr0.002_0.002_0.002_dp0.0,0.9851
batch64_lr0.005_0.005_0.005_dp0.0,0.9849
batch64_lr0.001_0.001_0.001_dp0.2,0.9849
batch256_lr0.005_0.005_0.005_dp0.5,0.9848
batch128_lr0.01_0.01_0.01_dp0.2,0.9846
batch256_lr0.005_0.002_0.001_dp0.0,0.9846
batch256_lr0.001_0.001_0.001_dp0.2,0.9846
batch128_lr0.002_0.002_0.002_dp0.5,0.9845
batch256_lr0.005_0.005_0.005_dp0.0,0.9844
batch256_lr0.001_0.001_0.001_dp0.0,0.9844
batch128_lr0.005_0.005_0.005_dp0.2,0.9843
batch128_lr0.002_0.002_0.002_dp0.2,0.9841
batch128_lr0.001_0.001_0.001_dp0.0,0.9840
batch256_lr0.01_0.01_0.01_dp0.0,0.9840
batch256_lr0.002_0.002_0.002_dp0.0,0.9840
batch128_lr0.001_0.001_0.001_dp0.2,0.9837
batch64_lr0.01_0.01_0.01_dp0.0,0.9836
batch64_lr0.001_0.001_0.001_dp0.0,0.9830
batch256_lr0.01_0.01_0.01_dp0.2,0.9830
batch128_lr0.005_0.005_0.005_dp0.0,0.9819
batch64_lr0.002_0.002_0.002_dp0.0,0.9792
