Config,Accuracy
batch64_lr0.01_0.005_0.001_dp0.2,0.9833
batch64_lr0.01_0.005_0.002_dp0.2,0.9825
batch64_lr0.005_0.002_0.001_dp0.2,0.9822
batch64_lr0.01_0.002_0.001_dp0.5,0.9821
batch128_lr0.01_0.005_0.001_dp0.2,0.9821
batch64_lr0.01_0.002_0.001_dp0.2,0.9820
batch64_lr0.01_0.01_0.01_dp0.5,0.9816
batch128_lr0.01_0.005_0.002_dp0.2,0.9816
batch64_lr0.01_0.005_0.002_dp0.0,0.9814
batch256_lr0.01_0.005_0.002_dp0.2,0.9814
batch256_lr0.01_0.002_0.001_dp0.2,0.9813
batch128_lr0.01_0.002_0.001_dp0.2,0.9812
batch256_lr0.01_0.005_0.001_dp0.2,0.9812
batch256_lr0.01_0.005_0.001_dp0.5,0.9812
batch64_lr0.01_0.005_0.002_dp0.5,0.9811
batch64_lr0.01_0.01_0.01_dp0.2,0.9809
batch128_lr0.01_0.01_0.01_dp0.2,0.9809
batch128_lr0.005_0.002_0.001_dp0.0,0.9809
batch128_lr0.01_0.005_0.001_dp0.0,0.9808
batch64_lr0.01_0.002_0.001_dp0.0,0.9807
batch64_lr0.01_0.005_0.001_dp0.0,0.9806
batch64_lr0.005_0.002_0.001_dp0.0,0.9805
batch64_lr0.01_0.005_0.001_dp0.5,0.9804
batch128_lr0.005_0.002_0.001_dp0.5,0.9804
batch128_lr0.01_0.002_0.001_dp0.0,0.9803
batch64_lr0.005_0.002_0.001_dp0.5,0.9802
batch128_lr0.01_0.005_0.001_dp0.5,0.9802
batch128_lr0.01_0.002_0.001_dp0.5,0.9800
batch128_lr0.01_0.005_0.002_dp0.5,0.9799
batch256_lr0.01_0.005_0.002_dp0.5,0.9797
batch128_lr0.005_0.002_0.001_dp0.2,0.9796
batch256_lr0.01_0.002_0.001_dp0.5,0.9796
batch256_lr0.01_0.01_0.01_dp0.5,0.9795
batch128_lr0.01_0.01_0.01_dp0.5,0.9794
batch256_lr0.01_0.002_0.001_dp0.0,0.9794
batch256_lr0.002_0.002_0.002_dp0.0,0.9794
batch128_lr0.01_0.005_0.002_dp0.0,0.9790
batch256_lr0.01_0.005_0.001_dp0.0,0.9790
batch64_lr0.005_0.005_0.005_dp0.5,0.9788
batch128_lr0.005_0.005_0.005_dp0.5,0.9788
batch256_lr0.005_0.002_0.001_dp0.2,0.9788
batch256_lr0.001_0.001_0.001_dp0.0,0.9786
batch64_lr0.005_0.005_0.005_dp0.2,0.9783
batch64_lr0.002_0.002_0.002_dp0.2,0.9781
batch256_lr0.005_0.002_0.001_dp0.0,0.9781
batch256_lr0.005_0.002_0.001_dp0.5,0.9780
batch64_lr0.01_0.01_0.01_dp0.0,0.9779
batch64_lr0.002_0.002_0.002_dp0.0,0.9779
batch128_lr0.005_0.005_0.005_dp0.2,0.9779
batch128_lr0.002_0.002_0.002_dp0.5,0.9779
batch64_lr0.001_0.001_0.001_dp0.2,0.9778
batch256_lr0.01_0.005_0.002_dp0.0,0.9777
batch256_lr0.005_0.005_0.005_dp0.5,0.9777
batch256_lr0.005_0.005_0.005_dp0.2,0.9776
batch128_lr0.001_0.001_0.001_dp0.0,0.9775
batch256_lr0.01_0.01_0.01_dp0.2,0.9775
batch128_lr0.002_0.002_0.002_dp0.0,0.9774
batch64_lr0.002_0.002_0.002_dp0.5,0.9772
batch128_lr0.005_0.005_0.005_dp0.0,0.9772
batch128_lr0.01_0.01_0.01_dp0.0,0.9770
batch64_lr0.005_0.005_0.005_dp0.0,0.9766
batch64_lr0.001_0.001_0.001_dp0.0,0.9764
batch256_lr0.01_0.01_0.01_dp0.0,0.9762
batch256_lr0.002_0.002_0.002_dp0.5,0.9759
batch128_lr0.002_0.002_0.002_dp0.2,0.9756
batch64_lr0.001_0.001_0.001_dp0.5,0.9755
batch256_lr0.001_0.001_0.001_dp0.2,0.9748
batch128_lr0.001_0.001_0.001_dp0.2,0.9744
batch256_lr0.002_0.002_0.002_dp0.2,0.9739
batch128_lr0.001_0.001_0.001_dp0.5,0.9737
batch256_lr0.001_0.001_0.001_dp0.5,0.9718
batch256_lr0.005_0.005_0.005_dp0.0,0.9696
