Config,Accuracy
batch128_lr0.005_0.002_0.001_dp0.2,0.9846
batch256_lr0.01_0.002_0.001_dp0.2,0.9833
batch64_lr0.005_0.002_0.001_dp0.2,0.9832
batch64_lr0.01_0.005_0.002_dp0.2,0.9829
batch256_lr0.01_0.005_0.001_dp0.2,0.9829
batch64_lr0.01_0.002_0.001_dp0.2,0.9828
batch64_lr0.01_0.005_0.002_dp0.0,0.9824
batch64_lr0.01_0.002_0.001_dp0.0,0.9824
batch256_lr0.01_0.005_0.002_dp0.2,0.9823
batch64_lr0.005_0.002_0.001_dp0.0,0.9822
batch128_lr0.01_0.005_0.001_dp0.0,0.9822
batch64_lr0.01_0.005_0.001_dp0.2,0.9821
batch256_lr0.002_0.002_0.002_dp0.2,0.9819
batch128_lr0.005_0.002_0.001_dp0.0,0.9818
batch64_lr0.001_0.001_0.001_dp0.2,0.9817
batch256_lr0.005_0.002_0.001_dp0.0,0.9817
batch256_lr0.005_0.002_0.001_dp0.2,0.9817
batch64_lr0.01_0.005_0.001_dp0.5,0.9816
batch128_lr0.01_0.005_0.002_dp0.0,0.9816
batch256_lr0.001_0.001_0.001_dp0.2,0.9816
batch64_lr0.01_0.005_0.001_dp0.0,0.9815
batch128_lr0.01_0.005_0.001_dp0.2,0.9815
batch64_lr0.005_0.005_0.005_dp0.2,0.9814
batch64_lr0.002_0.002_0.002_dp0.5,0.9814
batch128_lr0.01_0.002_0.001_dp0.2,0.9814
batch128_lr0.001_0.001_0.001_dp0.2,0.9814
batch64_lr0.001_0.001_0.001_dp0.5,0.9813
batch256_lr0.01_0.002_0.001_dp0.0,0.9813
batch64_lr0.005_0.005_0.005_dp0.0,0.9812
batch64_lr0.005_0.002_0.001_dp0.5,0.9811
batch128_lr0.01_0.005_0.002_dp0.2,0.9811
batch256_lr0.01_0.01_0.01_dp0.2,0.9811
batch128_lr0.01_0.002_0.001_dp0.0,0.9810
batch64_lr0.01_0.005_0.002_dp0.5,0.9808
batch64_lr0.002_0.002_0.002_dp0.0,0.9807
batch64_lr0.002_0.002_0.002_dp0.2,0.9807
batch128_lr0.005_0.002_0.001_dp0.5,0.9807
batch256_lr0.005_0.002_0.001_dp0.5,0.9807
batch256_lr0.01_0.005_0.001_dp0.5,0.9806
batch64_lr0.01_0.002_0.001_dp0.5,0.9805
batch128_lr0.002_0.002_0.002_dp0.2,0.9805
batch256_lr0.01_0.01_0.01_dp0.0,0.9805
batch256_lr0.01_0.005_0.002_dp0.0,0.9805
batch256_lr0.01_0.005_0.002_dp0.5,0.9804
batch256_lr0.005_0.005_0.005_dp0.2,0.9804
batch128_lr0.002_0.002_0.002_dp0.5,0.9803
batch256_lr0.01_0.002_0.001_dp0.5,0.9803
batch256_lr0.002_0.002_0.002_dp0.0,0.9803
batch128_lr0.005_0.005_0.005_dp0.2,0.9802
batch128_lr0.005_0.005_0.005_dp0.5,0.9802
batch256_lr0.01_0.005_0.001_dp0.0,0.9802
batch128_lr0.01_0.005_0.001_dp0.5,0.9801
batch256_lr0.005_0.005_0.005_dp0.5,0.9799
batch256_lr0.001_0.001_0.001_dp0.5,0.9799
batch64_lr0.001_0.001_0.001_dp0.0,0.9798
batch128_lr0.005_0.005_0.005_dp0.0,0.9798
batch128_lr0.001_0.001_0.001_dp0.5,0.9798
batch64_lr0.005_0.005_0.005_dp0.5,0.9797
batch128_lr0.01_0.01_0.01_dp0.2,0.9797
batch128_lr0.01_0.002_0.001_dp0.5,0.9796
batch128_lr0.001_0.001_0.001_dp0.0,0.9796
batch128_lr0.01_0.01_0.01_dp0.0,0.9793
batch128_lr0.01_0.005_0.002_dp0.5,0.9793
batch256_lr0.001_0.001_0.001_dp0.0,0.9792
batch64_lr0.01_0.01_0.01_dp0.2,0.9787
batch256_lr0.002_0.002_0.002_dp0.5,0.9784
batch64_lr0.01_0.01_0.01_dp0.0,0.9779
batch256_lr0.005_0.005_0.005_dp0.0,0.9779
batch128_lr0.002_0.002_0.002_dp0.0,0.9778
batch128_lr0.01_0.01_0.01_dp0.5,0.9777
batch256_lr0.01_0.01_0.01_dp0.5,0.9777
batch64_lr0.01_0.01_0.01_dp0.5,0.9756
