Config,Accuracy
batch256_lr0.01_0.005_0.001_dp0.2,0.9876
batch64_lr0.01_0.005_0.001_dp0.0,0.9872
batch64_lr0.01_0.005_0.001_dp0.2,0.9866
batch256_lr0.005_0.002_0.001_dp0.2,0.9866
batch128_lr0.005_0.002_0.001_dp0.5,0.9865
batch256_lr0.01_0.005_0.002_dp0.2,0.9865
batch64_lr0.005_0.002_0.001_dp0.2,0.9864
batch128_lr0.01_0.002_0.001_dp0.0,0.9864
batch256_lr0.01_0.002_0.001_dp0.2,0.9863
batch64_lr0.01_0.005_0.002_dp0.2,0.9862
batch128_lr0.01_0.002_0.001_dp0.2,0.9862
batch128_lr0.005_0.002_0.001_dp0.2,0.9862
batch256_lr0.01_0.002_0.001_dp0.0,0.9862
batch64_lr0.01_0.002_0.001_dp0.2,0.9861
batch64_lr0.01_0.002_0.001_dp0.5,0.9861
batch256_lr0.005_0.002_0.001_dp0.5,0.9860
batch64_lr0.01_0.005_0.001_dp0.5,0.9857
batch64_lr0.01_0.002_0.001_dp0.0,0.9857
batch128_lr0.01_0.002_0.001_dp0.5,0.9857
batch64_lr0.01_0.005_0.002_dp0.5,0.9856
batch128_lr0.01_0.005_0.001_dp0.2,0.9856
batch128_lr0.01_0.005_0.001_dp0.5,0.9856
batch64_lr0.01_0.005_0.002_dp0.0,0.9855
batch128_lr0.01_0.005_0.002_dp0.5,0.9855
batch256_lr0.01_0.002_0.001_dp0.5,0.9854
batch64_lr0.005_0.002_0.001_dp0.5,0.9853
batch64_lr0.01_0.01_0.01_dp0.2,0.9852
batch64_lr0.01_0.01_0.01_dp0.5,0.9852
batch256_lr0.01_0.005_0.002_dp0.0,0.9852
batch64_lr0.005_0.005_0.005_dp0.2,0.9851
batch64_lr0.002_0.002_0.002_dp0.0,0.9851
batch128_lr0.005_0.002_0.001_dp0.0,0.9851
batch256_lr0.01_0.005_0.001_dp0.5,0.9851
batch128_lr0.01_0.005_0.002_dp0.2,0.9849
batch128_lr0.002_0.002_0.002_dp0.5,0.9849
batch128_lr0.001_0.001_0.001_dp0.0,0.9849
batch64_lr0.002_0.002_0.002_dp0.5,0.9848
batch128_lr0.01_0.005_0.001_dp0.0,0.9848
batch128_lr0.005_0.005_0.005_dp0.2,0.9848
batch64_lr0.005_0.005_0.005_dp0.5,0.9847
batch64_lr0.002_0.002_0.002_dp0.2,0.9847
batch128_lr0.01_0.01_0.01_dp0.2,0.9847
batch128_lr0.01_0.01_0.01_dp0.5,0.9847
batch128_lr0.01_0.005_0.002_dp0.0,0.9847
batch256_lr0.01_0.005_0.002_dp0.5,0.9847
batch256_lr0.01_0.005_0.001_dp0.0,0.9847
batch64_lr0.005_0.002_0.001_dp0.0,0.9846
batch64_lr0.001_0.001_0.001_dp0.5,0.9846
batch256_lr0.01_0.01_0.01_dp0.2,0.9845
batch64_lr0.001_0.001_0.001_dp0.2,0.9844
batch256_lr0.005_0.005_0.005_dp0.2,0.9844
batch256_lr0.005_0.005_0.005_dp0.5,0.9843
batch128_lr0.005_0.005_0.005_dp0.5,0.9842
batch128_lr0.002_0.002_0.002_dp0.0,0.9842
batch256_lr0.005_0.002_0.001_dp0.0,0.9842
batch256_lr0.001_0.001_0.001_dp0.2,0.9842
batch64_lr0.001_0.001_0.001_dp0.0,0.9841
batch128_lr0.001_0.001_0.001_dp0.5,0.9841
batch128_lr0.01_0.01_0.01_dp0.0,0.9840
batch128_lr0.002_0.002_0.002_dp0.2,0.9839
batch256_lr0.01_0.01_0.01_dp0.5,0.9838
batch256_lr0.002_0.002_0.002_dp0.0,0.9836
batch256_lr0.002_0.002_0.002_dp0.2,0.9835
batch256_lr0.002_0.002_0.002_dp0.5,0.9835
batch256_lr0.001_0.001_0.001_dp0.5,0.9833
batch128_lr0.001_0.001_0.001_dp0.2,0.9832
batch256_lr0.01_0.01_0.01_dp0.0,0.9831
batch64_lr0.005_0.005_0.005_dp0.0,0.9830
batch64_lr0.01_0.01_0.01_dp0.0,0.9826
batch128_lr0.005_0.005_0.005_dp0.0,0.9821
batch256_lr0.005_0.005_0.005_dp0.0,0.9815
batch256_lr0.001_0.001_0.001_dp0.0,0.9793
