Config,Accuracy
batch64_lr0.01_0.005_0.001_dp0.2,0.9872
batch64_lr0.01_0.002_0.001_dp0.2,0.9865
batch64_lr0.01_0.01_0.01_dp0.2,0.9864
batch64_lr0.01_0.005_0.002_dp0.2,0.9863
batch64_lr0.005_0.002_0.001_dp0.2,0.9863
batch128_lr0.01_0.005_0.001_dp0.2,0.9858
batch128_lr0.01_0.002_0.001_dp0.2,0.9855
batch128_lr0.01_0.005_0.002_dp0.2,0.9853
batch64_lr0.005_0.005_0.005_dp0.2,0.9848
batch64_lr0.002_0.002_0.002_dp0.2,0.9847
batch128_lr0.005_0.002_0.001_dp0.2,0.9847
batch64_lr0.005_0.002_0.001_dp0.5,0.9846
batch128_lr0.005_0.005_0.005_dp0.2,0.9845
batch256_lr0.01_0.005_0.002_dp0.2,0.9845
batch256_lr0.01_0.002_0.001_dp0.2,0.9845
batch128_lr0.01_0.002_0.001_dp0.0,0.9844
batch128_lr0.005_0.002_0.001_dp0.0,0.9844
batch64_lr0.01_0.005_0.001_dp0.0,0.9842
batch64_lr0.01_0.002_0.001_dp0.5,0.9842
batch64_lr0.005_0.005_0.005_dp0.5,0.9842
batch256_lr0.01_0.005_0.001_dp0.2,0.9842
batch128_lr0.01_0.01_0.01_dp0.2,0.9841
batch64_lr0.01_0.005_0.001_dp0.5,0.9839
batch64_lr0.005_0.002_0.001_dp0.0,0.9839
batch256_lr0.005_0.002_0.001_dp0.2,0.9839
batch64_lr0.01_0.002_0.001_dp0.0,0.9838
batch64_lr0.001_0.001_0.001_dp0.2,0.9838
batch64_lr0.01_0.005_0.002_dp0.5,0.9837
batch64_lr0.01_0.005_0.002_dp0.0,0.9836
batch128_lr0.01_0.005_0.002_dp0.0,0.9836
batch128_lr0.01_0.005_0.001_dp0.0,0.9835
batch128_lr0.01_0.002_0.001_dp0.5,0.9835
batch256_lr0.01_0.01_0.01_dp0.2,0.9835
batch128_lr0.01_0.005_0.002_dp0.5,0.9834
batch128_lr0.01_0.005_0.001_dp0.5,0.9833
batch256_lr0.01_0.002_0.001_dp0.5,0.9833
batch256_lr0.005_0.002_0.001_dp0.0,0.9833
batch128_lr0.01_0.01_0.01_dp0.5,0.9832
batch128_lr0.005_0.002_0.001_dp0.5,0.9832
batch256_lr0.01_0.005_0.002_dp0.0,0.9832
batch256_lr0.01_0.002_0.001_dp0.0,0.9832
batch64_lr0.01_0.01_0.01_dp0.5,0.9830
batch128_lr0.005_0.005_0.005_dp0.5,0.9829
batch64_lr0.002_0.002_0.002_dp0.5,0.9828
batch128_lr0.002_0.002_0.002_dp0.2,0.9827
batch256_lr0.01_0.005_0.001_dp0.0,0.9827
batch256_lr0.005_0.002_0.001_dp0.5,0.9827
batch128_lr0.005_0.005_0.005_dp0.0,0.9826
batch256_lr0.01_0.005_0.002_dp0.5,0.9826
batch256_lr0.001_0.001_0.001_dp0.0,0.9826
batch256_lr0.01_0.005_0.001_dp0.5,0.9825
batch256_lr0.01_0.01_0.01_dp0.5,0.9823
batch256_lr0.005_0.005_0.005_dp0.5,0.9823
batch256_lr0.005_0.005_0.005_dp0.2,0.9822
batch128_lr0.002_0.002_0.002_dp0.0,0.9821
batch128_lr0.001_0.001_0.001_dp0.2,0.9818
batch64_lr0.005_0.005_0.005_dp0.0,0.9815
batch64_lr0.001_0.001_0.001_dp0.5,0.9815
batch128_lr0.002_0.002_0.002_dp0.5,0.9815
batch128_lr0.001_0.001_0.001_dp0.0,0.9815
batch256_lr0.002_0.002_0.002_dp0.2,0.9813
batch256_lr0.002_0.002_0.002_dp0.5,0.9812
batch128_lr0.01_0.01_0.01_dp0.0,0.9811
batch64_lr0.002_0.002_0.002_dp0.0,0.9804
batch256_lr0.005_0.005_0.005_dp0.0,0.9799
batch256_lr0.001_0.001_0.001_dp0.2,0.9799
batch64_lr0.001_0.001_0.001_dp0.0,0.9798
batch256_lr0.001_0.001_0.001_dp0.5,0.9795
batch64_lr0.01_0.01_0.01_dp0.0,0.9794
batch128_lr0.001_0.001_0.001_dp0.5,0.9793
batch256_lr0.002_0.002_0.002_dp0.0,0.9789
batch256_lr0.01_0.01_0.01_dp0.0,0.9782
