Config,Accuracy
batch128_lr_max_0.001_min_1e-06_dp0.1,0.7341
batch128_lr_max_0.0005_min_1e-05_dp0.05,0.7321
batch128_lr_max_0.001_min_1e-05_dp0.0,0.7319
batch256_lr_max_0.001_min_1e-05_dp0.1,0.7310
batch128_lr_max_0.0005_min_1e-05_dp0.0,0.7305
batch128_lr_max_0.001_min_1e-06_dp0.0,0.7301
batch256_lr_max_0.001_min_1e-06_dp0.0,0.7298
batch256_lr_max_0.001_min_1e-06_dp0.05,0.7292
batch128_lr_max_0.001_min_1e-05_dp0.05,0.7285
batch256_lr_max_0.001_min_1e-05_dp0.0,0.7283
batch256_lr_max_0.001_min_1e-06_dp0.1,0.7283
batch128_lr_max_0.001_min_1e-06_dp0.05,0.7281
batch256_lr_max_0.0005_min_1e-05_dp0.1,0.7278
batch128_lr_max_0.001_min_1e-05_dp0.1,0.7263
batch128_lr_max_0.0005_min_1e-06_dp0.1,0.7258
batch256_lr_max_0.001_min_1e-05_dp0.05,0.7257
batch128_lr_max_0.0005_min_1e-05_dp0.1,0.7247
batch256_lr_max_0.0005_min_1e-06_dp0.1,0.7234
batch256_lr_max_0.0005_min_1e-06_dp0.0,0.7221
batch128_lr_max_0.0005_min_1e-06_dp0.0,0.7215
batch128_lr_max_0.0005_min_1e-06_dp0.05,0.7207
batch256_lr_max_0.0005_min_1e-05_dp0.05,0.7188
batch256_lr_max_0.0005_min_1e-06_dp0.05,0.7177
batch256_lr_max_0.0005_min_1e-05_dp0.0,0.7167
