Config,Accuracy
batch128_lr_max_0.001_min_1e-06_dp0.1,0.6611
batch128_lr_max_0.001_min_1e-06_dp0.05,0.6536
batch128_lr_max_0.001_min_1e-05_dp0.05,0.6473
batch128_lr_max_0.001_min_1e-06_dp0.0,0.6307
batch128_lr_max_0.0005_min_1e-06_dp0.0,0.6163
batch128_lr_max_0.001_min_1e-05_dp0.1,0.6154
batch128_lr_max_0.001_min_1e-05_dp0.0,0.6125
batch128_lr_max_0.0005_min_1e-06_dp0.05,0.6016
batch128_lr_max_0.0005_min_1e-05_dp0.0,0.5969
batch128_lr_max_0.0005_min_1e-06_dp0.1,0.5964
batch256_lr_max_0.001_min_1e-06_dp0.0,0.5749
batch256_lr_max_0.001_min_1e-06_dp0.05,0.5741
batch128_lr_max_0.0005_min_1e-05_dp0.05,0.5624
batch256_lr_max_0.001_min_1e-06_dp0.1,0.5622
batch256_lr_max_0.001_min_1e-05_dp0.0,0.5610
batch256_lr_max_0.001_min_1e-05_dp0.1,0.5495
batch256_lr_max_0.001_min_1e-05_dp0.05,0.5434
batch128_lr_max_0.0005_min_1e-05_dp0.1,0.5387
batch256_lr_max_0.0005_min_1e-05_dp0.0,0.5345
batch256_lr_max_0.0005_min_1e-06_dp0.0,0.4994
batch256_lr_max_0.0005_min_1e-05_dp0.05,0.4254
batch256_lr_max_0.0005_min_1e-06_dp0.1,0.3933
batch256_lr_max_0.0005_min_1e-06_dp0.05,0.1576
batch256_lr_max_0.0005_min_1e-05_dp0.1,0.1039
