Epoch,Batch Size,LR_max,LR_min,Dropout,Accuracy
200,128,0.1000,0.000100,0.0000,0.9351
200,128,0.1000,0.000100,0.0500,0.9351
200,128,0.0500,0.000100,0.0000,0.9344
200,128,0.0500,0.000100,0.0500,0.9324
200,128,0.0500,0.000100,0.1000,0.9321
200,128,0.1000,0.000100,0.1000,0.9319
200,128,0.0200,0.000100,0.1000,0.9274
200,128,0.0200,0.000100,0.0500,0.9267
200,128,0.0200,0.000100,0.0000,0.9263
200,128,0.0100,0.000100,0.1000,0.9230
200,128,0.0100,0.000100,0.0500,0.9219
200,128,0.0100,0.000100,0.0000,0.9213
