Epoch,Batch Size,LR_max,LR_min,Dropout,Accuracy
200,128,0.0500,0.000100,0.1000,0.9397
200,128,0.0500,0.000100,0.0500,0.9381
200,128,0.1000,0.000100,0.0500,0.9358
200,128,0.0200,0.000100,0.0500,0.9357
200,128,0.0500,0.000100,0.0000,0.9352
200,128,0.0200,0.000100,0.0000,0.9351
200,128,0.1000,0.000100,0.1000,0.9350
200,128,0.0200,0.000100,0.1000,0.9347
200,128,0.1000,0.000100,0.0000,0.9339
200,128,0.0100,0.000100,0.1000,0.9336
200,128,0.0100,0.000100,0.0500,0.9288
200,128,0.0100,0.000100,0.0000,0.9282
