Epoch,Batch Size,LR_max,LR_min,Dropout,Accuracy
200,128,0.0100,0.000100,0.0000,0.1555
200,128,0.0100,0.000100,0.0000,0.1555
200,128,0.0500,0.000100,0.0000,0.1218
200,128,0.0500,0.000100,0.0000,0.1218
200,128,0.1000,0.000100,0.0000,0.1000
200,128,0.1000,0.000100,0.0000,0.1000
200,128,0.1000,0.000100,0.0500,0.1000
200,128,0.1000,0.000100,0.0500,0.1000
200,128,0.1000,0.000100,0.1000,0.1000
200,128,0.1000,0.000100,0.1000,0.1000
200,128,0.1000,0.000010,0.0000,0.1000
200,128,0.1000,0.000010,0.0000,0.1000
200,128,0.1000,0.000010,0.0500,0.1000
200,128,0.1000,0.000010,0.0500,0.1000
200,128,0.1000,0.000010,0.1000,0.1000
200,128,0.1000,0.000010,0.1000,0.1000
200,128,0.0500,0.000100,0.0500,0.1000
200,128,0.0500,0.000100,0.0500,0.1000
200,128,0.0500,0.000100,0.1000,0.1000
200,128,0.0500,0.000100,0.1000,0.1000
200,128,0.0500,0.000010,0.0000,0.1000
200,128,0.0500,0.000010,0.0000,0.1000
200,128,0.0500,0.000010,0.0500,0.1000
200,128,0.0500,0.000010,0.0500,0.1000
200,128,0.0500,0.000010,0.1000,0.1000
200,128,0.0500,0.000010,0.1000,0.1000
200,128,0.0200,0.000100,0.0000,0.1000
200,128,0.0200,0.000100,0.0000,0.1000
200,128,0.0200,0.000100,0.0500,0.1000
200,128,0.0200,0.000100,0.0500,0.1000
200,128,0.0200,0.000100,0.1000,0.1000
200,128,0.0200,0.000100,0.1000,0.1000
200,128,0.0200,0.000010,0.0000,0.1000
200,128,0.0200,0.000010,0.0000,0.1000
200,128,0.0200,0.000010,0.0500,0.1000
200,128,0.0200,0.000010,0.0500,0.1000
200,128,0.0200,0.000010,0.1000,0.1000
200,128,0.0200,0.000010,0.1000,0.1000
200,128,0.0100,0.000100,0.0500,0.1000
200,128,0.0100,0.000100,0.0500,0.1000
200,128,0.0100,0.000100,0.1000,0.1000
200,128,0.0100,0.000100,0.1000,0.1000
200,128,0.0100,0.000010,0.0000,0.1000
200,128,0.0100,0.000010,0.0000,0.1000
200,128,0.0100,0.000010,0.0500,0.1000
200,128,0.0100,0.000010,0.0500,0.1000
200,128,0.0100,0.000010,0.1000,0.1000
200,128,0.0100,0.000010,0.1000,0.1000
200,128,0.0050,0.000100,0.0000,0.1000
200,128,0.0050,0.000100,0.0500,0.1000
200,128,0.0050,0.000100,0.1000,0.1000
200,128,0.0050,0.000010,0.0000,0.1000
200,128,0.0050,0.000010,0.0500,0.1000
200,128,0.0050,0.000010,0.1000,0.1000
