Config,Accuracy
batch128_lr_max_0.01_min_1e-05_dp0.0,0.0142
batch128_lr_max_0.001_min_1e-05_dp0.1,0.0118
batch128_lr_max_0.001_min_1e-05_dp0.0,0.0117
batch128_lr_max_0.0002_min_1e-05_dp0.0,0.0110
batch256_lr_max_0.0005_min_1e-05_dp0.05,0.0108
batch256_lr_max_0.0005_min_1e-05_dp0.0,0.0106
batch128_lr_max_0.01_min_1e-05_dp0.1,0.0105
batch256_lr_max_0.001_min_1e-05_dp0.0,0.0104
batch128_lr_max_0.01_min_1e-05_dp0.05,0.0103
batch256_lr_max_0.01_min_1e-05_dp0.0,0.0103
batch256_lr_max_0.001_min_1e-05_dp0.1,0.0103
batch128_lr_max_0.001_min_1e-05_dp0.05,0.0102
batch128_lr_max_0.0005_min_1e-05_dp0.05,0.0102
batch128_lr_max_0.0005_min_1e-05_dp0.1,0.0102
batch512_lr_max_0.0002_min_1e-05_dp0.1,0.0102
batch128_lr_max_0.0005_min_1e-05_dp0.0,0.0101
batch256_lr_max_0.0002_min_1e-05_dp0.0,0.0101
batch512_lr_max_0.0002_min_1e-05_dp0.0,0.0101
batch512_lr_max_0.0002_min_1e-05_dp0.05,0.0101
batch128_lr_max_0.0002_min_1e-05_dp0.05,0.0100
batch128_lr_max_0.0002_min_1e-05_dp0.1,0.0100
batch256_lr_max_0.01_min_1e-05_dp0.1,0.0100
batch256_lr_max_0.001_min_1e-05_dp0.05,0.0100
batch256_lr_max_0.0002_min_1e-05_dp0.05,0.0100
batch256_lr_max_0.0002_min_1e-05_dp0.1,0.0100
batch512_lr_max_0.01_min_1e-05_dp0.0,0.0100
batch512_lr_max_0.01_min_1e-05_dp0.05,0.0100
batch512_lr_max_0.01_min_1e-05_dp0.1,0.0100
batch512_lr_max_0.001_min_1e-05_dp0.1,0.0100
batch512_lr_max_0.0005_min_1e-05_dp0.0,0.0100
batch512_lr_max_0.0005_min_1e-05_dp0.05,0.0100
batch512_lr_max_0.0005_min_1e-05_dp0.1,0.0100
batch256_lr_max_0.0005_min_1e-05_dp0.1,0.0099
batch256_lr_max_0.01_min_1e-05_dp0.05,0.0096
batch512_lr_max_0.001_min_1e-05_dp0.0,0.0093
batch512_lr_max_0.001_min_1e-05_dp0.05,0.0092
