Config,Accuracy
batch128_lr_max_0.0005_min_1e-05_dp0.1,0.6790
batch128_lr_max_0.0005_min_1e-05_dp0.05,0.6764
batch512_lr_max_0.01_min_1e-05_dp0.1,0.6762
batch256_lr_max_0.0005_min_1e-05_dp0.05,0.6756
batch256_lr_max_0.01_min_1e-05_dp0.05,0.6754
batch512_lr_max_0.0005_min_1e-05_dp0.05,0.6746
batch256_lr_max_0.0005_min_1e-05_dp0.1,0.6734
batch128_lr_max_0.01_min_1e-05_dp0.05,0.6733
batch512_lr_max_0.001_min_1e-05_dp0.1,0.6727
batch256_lr_max_0.001_min_1e-05_dp0.1,0.6721
batch256_lr_max_0.01_min_1e-05_dp0.1,0.6717
batch256_lr_max_0.001_min_1e-05_dp0.05,0.6716
batch128_lr_max_0.01_min_1e-05_dp0.1,0.6704
batch128_lr_max_0.001_min_1e-05_dp0.1,0.6699
batch128_lr_max_0.001_min_1e-05_dp0.05,0.6683
batch512_lr_max_0.0005_min_1e-05_dp0.1,0.6679
batch512_lr_max_0.01_min_1e-05_dp0.05,0.6666
batch128_lr_max_0.0002_min_1e-05_dp0.05,0.6664
batch512_lr_max_0.001_min_1e-05_dp0.05,0.6647
batch128_lr_max_0.0002_min_1e-05_dp0.1,0.6607
batch256_lr_max_0.0002_min_1e-05_dp0.05,0.6596
batch128_lr_max_0.0002_min_1e-05_dp0.0,0.6544
batch128_lr_max_0.01_min_1e-05_dp0.0,0.6515
batch256_lr_max_0.0002_min_1e-05_dp0.0,0.6496
batch256_lr_max_0.0002_min_1e-05_dp0.1,0.6475
batch512_lr_max_0.0002_min_1e-05_dp0.05,0.6434
batch128_lr_max_0.0005_min_1e-05_dp0.0,0.6416
batch512_lr_max_0.0002_min_1e-05_dp0.1,0.6374
batch512_lr_max_0.0002_min_1e-05_dp0.0,0.6373
batch512_lr_max_0.0005_min_1e-05_dp0.0,0.6372
batch256_lr_max_0.01_min_1e-05_dp0.0,0.6364
batch256_lr_max_0.0005_min_1e-05_dp0.0,0.6350
batch256_lr_max_0.001_min_1e-05_dp0.0,0.6331
batch128_lr_max_0.001_min_1e-05_dp0.0,0.6326
batch512_lr_max_0.001_min_1e-05_dp0.0,0.6315
batch512_lr_max_0.01_min_1e-05_dp0.0,0.6175
