Config,Accuracy
batch256_lr_max_0.01_min_1e-05_dp0.0,0.0700
batch128_lr_max_0.0005_min_1e-05_dp0.1,0.0135
batch128_lr_max_0.0005_min_1e-05_dp0.05,0.0124
batch128_lr_max_0.001_min_1e-05_dp0.05,0.0118
batch128_lr_max_0.0005_min_1e-05_dp0.0,0.0116
batch256_lr_max_0.01_min_1e-05_dp0.05,0.0113
batch128_lr_max_0.01_min_1e-05_dp0.05,0.0112
batch256_lr_max_0.0002_min_1e-05_dp0.0,0.0108
batch512_lr_max_0.0005_min_1e-05_dp0.05,0.0108
batch128_lr_max_0.001_min_1e-05_dp0.0,0.0107
batch256_lr_max_0.001_min_1e-05_dp0.0,0.0106
batch512_lr_max_0.001_min_1e-05_dp0.1,0.0106
batch128_lr_max_0.0002_min_1e-05_dp0.05,0.0105
batch256_lr_max_0.0002_min_1e-05_dp0.05,0.0105
batch512_lr_max_0.01_min_1e-05_dp0.05,0.0104
batch512_lr_max_0.0002_min_1e-05_dp0.1,0.0104
batch256_lr_max_0.0005_min_1e-05_dp0.0,0.0103
batch512_lr_max_0.01_min_1e-05_dp0.0,0.0103
batch128_lr_max_0.01_min_1e-05_dp0.1,0.0102
batch512_lr_max_0.001_min_1e-05_dp0.05,0.0102
batch128_lr_max_0.001_min_1e-05_dp0.1,0.0101
batch128_lr_max_0.01_min_1e-05_dp0.0,0.0100
batch128_lr_max_0.0002_min_1e-05_dp0.0,0.0100
batch128_lr_max_0.0002_min_1e-05_dp0.1,0.0100
batch256_lr_max_0.01_min_1e-05_dp0.1,0.0100
batch256_lr_max_0.001_min_1e-05_dp0.05,0.0100
batch256_lr_max_0.0005_min_1e-05_dp0.05,0.0100
batch256_lr_max_0.0005_min_1e-05_dp0.1,0.0100
batch256_lr_max_0.0002_min_1e-05_dp0.1,0.0100
batch512_lr_max_0.01_min_1e-05_dp0.1,0.0100
batch512_lr_max_0.0005_min_1e-05_dp0.0,0.0100
batch512_lr_max_0.0005_min_1e-05_dp0.1,0.0100
batch512_lr_max_0.0002_min_1e-05_dp0.05,0.0100
batch256_lr_max_0.001_min_1e-05_dp0.1,0.0098
batch512_lr_max_0.001_min_1e-05_dp0.0,0.0097
batch512_lr_max_0.0002_min_1e-05_dp0.0,0.0097
