Config,Accuracy
batch256_lr_max_0.01_min_1e-05_dp0.0,0.0129
batch128_lr_max_0.01_min_1e-05_dp0.0,0.0128
batch128_lr_max_0.0005_min_1e-05_dp0.0,0.0125
batch512_lr_max_0.01_min_1e-05_dp0.05,0.0118
batch512_lr_max_0.001_min_1e-05_dp0.0,0.0118
batch128_lr_max_0.01_min_1e-05_dp0.05,0.0117
batch128_lr_max_0.0002_min_1e-05_dp0.0,0.0113
batch512_lr_max_0.01_min_1e-05_dp0.0,0.0113
batch256_lr_max_0.001_min_1e-05_dp0.0,0.0111
batch512_lr_max_0.0002_min_1e-05_dp0.0,0.0111
batch128_lr_max_0.001_min_1e-05_dp0.1,0.0110
batch128_lr_max_0.0005_min_1e-05_dp0.1,0.0110
batch128_lr_max_0.001_min_1e-05_dp0.0,0.0109
batch256_lr_max_0.0005_min_1e-05_dp0.1,0.0109
batch512_lr_max_0.001_min_1e-05_dp0.05,0.0108
batch512_lr_max_0.01_min_1e-05_dp0.1,0.0106
batch512_lr_max_0.0005_min_1e-05_dp0.05,0.0106
batch512_lr_max_0.0002_min_1e-05_dp0.1,0.0105
batch512_lr_max_0.001_min_1e-05_dp0.1,0.0102
batch128_lr_max_0.01_min_1e-05_dp0.1,0.0100
batch128_lr_max_0.001_min_1e-05_dp0.05,0.0100
batch128_lr_max_0.0005_min_1e-05_dp0.05,0.0100
batch128_lr_max_0.0002_min_1e-05_dp0.05,0.0100
batch128_lr_max_0.0002_min_1e-05_dp0.1,0.0100
batch256_lr_max_0.01_min_1e-05_dp0.1,0.0100
batch256_lr_max_0.001_min_1e-05_dp0.05,0.0100
batch256_lr_max_0.001_min_1e-05_dp0.1,0.0100
batch256_lr_max_0.0005_min_1e-05_dp0.0,0.0100
batch256_lr_max_0.0005_min_1e-05_dp0.05,0.0100
batch256_lr_max_0.0002_min_1e-05_dp0.0,0.0100
batch256_lr_max_0.0002_min_1e-05_dp0.05,0.0100
batch256_lr_max_0.0002_min_1e-05_dp0.1,0.0100
batch512_lr_max_0.0005_min_1e-05_dp0.0,0.0100
batch512_lr_max_0.0005_min_1e-05_dp0.1,0.0100
batch512_lr_max_0.0002_min_1e-05_dp0.05,0.0100
batch256_lr_max_0.01_min_1e-05_dp0.05,0.0098
