Epoch,Batch Size,LR_max,LR_min,Dropout,Accuracy
100,128,0.0010,0.000001,0.1000,0.9509
100,128,0.0010,0.000001,0.0500,0.9501
100,128,0.0005,0.000010,0.1000,0.9501
100,128,0.0010,0.000010,0.1000,0.9499
100,128,0.0010,0.000010,0.0500,0.9495
100,128,0.0005,0.000001,0.1000,0.9484
100,128,0.0010,0.000001,0.0000,0.9479
100,128,0.0005,0.000001,0.0000,0.9475
100,128,0.0005,0.000010,0.0500,0.9474
100,128,0.0005,0.000001,0.0500,0.9469
100,128,0.0005,0.000010,0.0000,0.9462
100,128,0.0010,0.000010,0.0000,0.9452
