Epoch,Batch Size,LR_max,LR_min,Dropout,Accuracy
100,128,0.0010,0.000010,0.1000,0.7210
100,128,0.0010,0.000010,0.0500,0.7162
100,128,0.0005,0.000010,0.1000,0.7153
100,128,0.0005,0.000001,0.1000,0.7122
100,128,0.0010,0.000001,0.0500,0.7114
100,128,0.0005,0.000010,0.0500,0.7053
100,128,0.0005,0.000001,0.0000,0.7034
100,128,0.0010,0.000010,0.0000,0.7012
100,128,0.0010,0.000001,0.0000,0.7010
100,128,0.0010,0.000001,0.1000,0.6980
100,128,0.0005,0.000010,0.0000,0.6965
100,128,0.0005,0.000001,0.0500,0.6847
