Epoch,Batch Size,LR_max,LR_min,Dropout,Accuracy
100,128,0.0010,0.000001,0.1000,0.9508
100,128,0.0010,0.000001,0.0000,0.9506
100,128,0.0010,0.000001,0.0500,0.9504
100,128,0.0010,0.000010,0.0500,0.9503
100,128,0.0010,0.000010,0.1000,0.9497
100,128,0.0005,0.000010,0.1000,0.9497
100,128,0.0005,0.000001,0.1000,0.9491
100,128,0.0010,0.000010,0.0000,0.9484
100,128,0.0005,0.000010,0.0500,0.9471
100,128,0.0005,0.000001,0.0000,0.9465
100,128,0.0005,0.000010,0.0000,0.9455
100,128,0.0005,0.000001,0.0500,0.9454
