Epoch,Batch Size,LR_max,LR_min,Dropout,Accuracy
100,128,0.0010,0.000010,0.0500,0.9537
100,128,0.0010,0.000010,0.1000,0.9534
100,128,0.0010,0.000001,0.0500,0.9530
100,128,0.0005,0.000001,0.0500,0.9528
100,128,0.0005,0.000010,0.1000,0.9524
100,128,0.0005,0.000001,0.1000,0.9524
100,128,0.0010,0.000010,0.0000,0.9520
100,128,0.0010,0.000001,0.1000,0.9520
100,128,0.0005,0.000010,0.0500,0.9509
100,128,0.0005,0.000001,0.0000,0.9505
100,128,0.0010,0.000001,0.0000,0.9503
100,128,0.0005,0.000010,0.0000,0.9496
