Epoch,Batch Size,LR_max,LR_min,Dropout,Accuracy
100,128,0.0010,0.000010,0.1000,0.7228
100,128,0.0005,0.000010,0.1000,0.7161
100,128,0.0010,0.000001,0.0500,0.7155
100,128,0.0010,0.000010,0.0500,0.7102
100,128,0.0005,0.000010,0.0500,0.7082
100,128,0.0010,0.000001,0.0000,0.6988
100,128,0.0005,0.000010,0.0000,0.6987
100,128,0.0010,0.000010,0.0000,0.6983
100,128,0.0005,0.000001,0.0500,0.6965
100,128,0.0005,0.000001,0.0000,0.6923
100,128,0.0005,0.000001,0.1000,0.2136
100,128,0.0010,0.000001,0.1000,0.1958
