Epoch,Batch Size,LR_max,LR_min,Dropout,Accuracy
100,128,0.0010,0.000010,0.1000,0.9513
100,128,0.0010,0.000001,0.1000,0.9483
100,128,0.0005,0.000010,0.1000,0.9474
100,128,0.0010,0.000010,0.0500,0.9466
100,128,0.0005,0.000001,0.1000,0.9462
100,128,0.0010,0.000001,0.0500,0.9456
100,128,0.0005,0.000001,0.0500,0.9447
100,128,0.0010,0.000010,0.0000,0.9434
100,128,0.0005,0.000001,0.0000,0.9431
100,128,0.0005,0.000010,0.0000,0.9428
100,128,0.0005,0.000010,0.0500,0.9427
100,128,0.0010,0.000001,0.0000,0.9418
