Epoch,Batch Size,LR_max,LR_min,Dropout,Accuracy
100,128,0.0010,0.000001,0.1000,0.9523
100,128,0.0010,0.000010,0.1000,0.9518
100,128,0.0010,0.000001,0.0500,0.9516
100,128,0.0005,0.000001,0.1000,0.9500
100,128,0.0005,0.000010,0.1000,0.9491
100,128,0.0010,0.000001,0.0000,0.9489
100,128,0.0010,0.000010,0.0500,0.9486
100,128,0.0005,0.000001,0.0500,0.9469
100,128,0.0005,0.000010,0.0500,0.9468
100,128,0.0010,0.000010,0.0000,0.9466
100,128,0.0005,0.000010,0.0000,0.9466
100,128,0.0005,0.000001,0.0000,0.9452
