Config,Accuracy
batch64_lr_max_0.001_min_1e-06_dp0.1,0.9748
batch64_lr_max_0.0005_min_1e-06_dp0.05,0.9743
batch64_lr_max_0.001_min_1e-06_dp0.05,0.9738
batch128_lr_max_0.001_min_1e-05_dp0.1,0.9737
batch128_lr_max_0.001_min_1e-06_dp0.05,0.9734
batch64_lr_max_0.001_min_1e-06_dp0.0,0.9733
batch64_lr_max_0.0005_min_1e-06_dp0.1,0.9733
batch64_lr_max_0.0005_min_1e-05_dp0.01,0.9727
batch64_lr_max_0.0005_min_1e-05_dp0.05,0.9727
batch64_lr_max_0.001_min_1e-05_dp0.1,0.9726
batch64_lr_max_0.0005_min_1e-05_dp0.0,0.9726
batch128_lr_max_0.001_min_1e-06_dp0.1,0.9724
batch128_lr_max_0.0005_min_1e-06_dp0.1,0.9721
batch64_lr_max_0.0005_min_1e-05_dp0.1,0.9720
batch64_lr_max_0.001_min_1e-06_dp0.01,0.9716
batch64_lr_max_0.0002_min_1e-06_dp0.01,0.9716
batch64_lr_max_0.001_min_1e-05_dp0.05,0.9715
batch64_lr_max_0.001_min_1e-05_dp0.01,0.9714
batch64_lr_max_0.0002_min_1e-06_dp0.1,0.9714
batch128_lr_max_0.001_min_1e-06_dp0.0,0.9707
batch64_lr_max_0.0005_min_1e-06_dp0.01,0.9706
batch128_lr_max_0.0005_min_1e-05_dp0.01,0.9706
batch128_lr_max_0.0005_min_1e-05_dp0.05,0.9706
batch256_lr_max_0.001_min_1e-05_dp0.05,0.9706
batch128_lr_max_0.001_min_1e-05_dp0.05,0.9705
batch128_lr_max_0.0005_min_1e-06_dp0.0,0.9703
batch256_lr_max_0.001_min_1e-06_dp0.1,0.9701
batch64_lr_max_0.0002_min_1e-05_dp0.0,0.9700
batch128_lr_max_0.0005_min_1e-05_dp0.1,0.9699
batch64_lr_max_0.0005_min_1e-06_dp0.0,0.9698
batch256_lr_max_0.001_min_1e-06_dp0.05,0.9697
batch128_lr_max_0.001_min_1e-05_dp0.0,0.9696
batch128_lr_max_0.0005_min_1e-06_dp0.01,0.9696
batch64_lr_max_0.0002_min_1e-05_dp0.1,0.9695
batch64_lr_max_0.001_min_1e-05_dp0.0,0.9691
batch64_lr_max_0.0002_min_1e-06_dp0.05,0.9690
batch128_lr_max_0.001_min_1e-05_dp0.01,0.9690
batch128_lr_max_0.001_min_1e-06_dp0.01,0.9688
batch64_lr_max_0.0002_min_1e-06_dp0.0,0.9684
batch64_lr_max_0.0002_min_1e-05_dp0.01,0.9682
batch256_lr_max_0.001_min_1e-05_dp0.1,0.9681
batch64_lr_max_0.0002_min_1e-05_dp0.05,0.9680
batch128_lr_max_0.0005_min_1e-06_dp0.05,0.9680
batch128_lr_max_0.0002_min_1e-06_dp0.1,0.9679
batch256_lr_max_0.0005_min_1e-06_dp0.1,0.9679
batch256_lr_max_0.001_min_1e-05_dp0.01,0.9678
batch256_lr_max_0.001_min_1e-06_dp0.01,0.9675
batch64_lr_max_0.0001_min_1e-06_dp0.1,0.9669
batch256_lr_max_0.0005_min_1e-05_dp0.1,0.9667
batch256_lr_max_0.001_min_1e-05_dp0.0,0.9666
batch256_lr_max_0.0005_min_1e-06_dp0.01,0.9666
batch128_lr_max_0.0005_min_1e-05_dp0.0,0.9665
batch64_lr_max_0.0001_min_1e-05_dp0.1,0.9664
batch256_lr_max_0.0005_min_1e-05_dp0.01,0.9662
batch64_lr_max_0.0001_min_1e-06_dp0.01,0.9661
batch128_lr_max_0.0002_min_1e-05_dp0.0,0.9661
batch64_lr_max_0.0001_min_1e-06_dp0.05,0.9658
batch256_lr_max_0.001_min_1e-06_dp0.0,0.9657
batch256_lr_max_0.0005_min_1e-05_dp0.0,0.9657
batch128_lr_max_0.0002_min_1e-06_dp0.05,0.9656
batch64_lr_max_0.0001_min_1e-05_dp0.05,0.9653
batch256_lr_max_0.0005_min_1e-06_dp0.0,0.9650
batch256_lr_max_0.0005_min_1e-06_dp0.05,0.9648
batch128_lr_max_0.0002_min_1e-05_dp0.1,0.9647
batch64_lr_max_0.0001_min_1e-06_dp0.0,0.9641
batch128_lr_max_0.0002_min_1e-06_dp0.0,0.9640
batch256_lr_max_0.0005_min_1e-05_dp0.05,0.9638
batch128_lr_max_0.0002_min_1e-05_dp0.05,0.9636
batch128_lr_max_0.0002_min_1e-06_dp0.01,0.9636
batch64_lr_max_0.0001_min_1e-05_dp0.0,0.9634
batch64_lr_max_0.0001_min_1e-05_dp0.01,0.9622
batch128_lr_max_0.0002_min_1e-05_dp0.01,0.9622
batch128_lr_max_0.0001_min_1e-06_dp0.05,0.9598
batch128_lr_max_0.0001_min_1e-06_dp0.01,0.9593
batch128_lr_max_0.0001_min_1e-05_dp0.05,0.9589
batch256_lr_max_0.0002_min_1e-05_dp0.1,0.9584
batch256_lr_max_0.0002_min_1e-05_dp0.01,0.9583
batch256_lr_max_0.0002_min_1e-06_dp0.1,0.9583
batch128_lr_max_0.0001_min_1e-05_dp0.01,0.9582
batch256_lr_max_0.0002_min_1e-06_dp0.05,0.9574
batch128_lr_max_0.0001_min_1e-06_dp0.1,0.9572
batch256_lr_max_0.0002_min_1e-06_dp0.01,0.9568
batch256_lr_max_0.0002_min_1e-05_dp0.05,0.9567
batch128_lr_max_0.0001_min_1e-05_dp0.1,0.9561
batch128_lr_max_0.0001_min_1e-05_dp0.0,0.9555
batch128_lr_max_0.0001_min_1e-06_dp0.0,0.9542
batch256_lr_max_0.0002_min_1e-05_dp0.0,0.9542
batch256_lr_max_0.0002_min_1e-06_dp0.0,0.9535
batch256_lr_max_0.0001_min_1e-05_dp0.05,0.9325
batch256_lr_max_0.0001_min_1e-05_dp0.1,0.9309
batch256_lr_max_0.0001_min_1e-05_dp0.0,0.9265
batch256_lr_max_0.0001_min_1e-06_dp0.1,0.9231
batch256_lr_max_0.0001_min_1e-05_dp0.01,0.9207
batch256_lr_max_0.0001_min_1e-06_dp0.05,0.9191
batch256_lr_max_0.0001_min_1e-06_dp0.01,0.9168
batch256_lr_max_0.0001_min_1e-06_dp0.0,0.9148
